language_name,language_code,script,hrl/lrl,Joshi_class,Joshi_class_modfied,data_size_in_XLMR (GiB),coverage_in_XLM-R,coverage_in_GLOT,language_family,region,region_normalized,nllb,gpt_35_chrf,gpt-4o
Acehnese (Arabic script),ace_Arab,Arab,lrl,1,1,,,,Austronesian,Asia 3,Asia,17.4,8.4,12.4
Acehnese (Latin script),ace_Latn,Latn,lrl,1,1,,,X,Austronesian,Asia 3,Asia,37.1,19.8,29
Mesopotamian Arabic,acm_Arab,Arab,lrl,,2,,,X,Afro-Asiatic,Asia 1,Asia,31.9,44.7,45.2
Ta’izzi-Adeni Arabic,acq_Arab,Arab,lrl,,1,,,,Afro-Asiatic,Asia 1,Asia,42.2,47.5,48.7
Tunisian Arabic,aeb_Arab,Arab,lrl,,1,,,,Afro-Asiatic,Africa,Africa,38.2,41,41.7
Afrikaans,afr_Latn,Latn,hrl,3,3,1.3,X,X,Indo-European,Africa,Africa,64.3,67,67.6
South Levantine Arabic,ajp_Arab,Arab,lrl,,1,,,X,Afro-Asiatic,Asia 1,Asia,51.3,47.1,48.8
Akan,aka_Latn,Latn,lrl,1,1,,,X,Atlantic-Congo,Africa,Africa,34.5,13.3,27.9
Tosk Albanian,als_Latn,Latn,hrl,1,1,5.4,X,X,Indo-European,Europe 1,Europe,58.3,56,60.3
Amharic,amh_Ethi,Ethi,lrl,2,2,0.8,X,X,Afro-Asiatic,Africa,Africa,39.4,10,23.8
North Levantine Arabic,apc_Arab,Arab,lrl,,2,,,X,Afro-Asiatic,Asia 1,Asia,50.6,45.5,47.8
Modern Standard Arabic,arb_Arab,Arab,hrl,5,5,28,X,X,Afro-Asiatic,Asia 1,Asia,57.1,53.8,55.9
Modern Standard Arabic (Romanized),arb_Latn,Latn,lrl,,5,,,,Afro-Asiatic,Asia 1,Asia,,20.3,29.7
Najdi Arabic,ars_Arab,Arab,lrl,,5,,,,Afro-Asiatic,Asia 1,Asia,50.5,52.4,47.5
Moroccan Arabic,ary_Arab,Arab,lrl,,1,,,X,Afro-Asiatic,Africa,Africa,38.9,36.3,37.7
Egyptian Arabic,arz_Arab,Arab,lrl,3,3,,,X,Afro-Asiatic,Africa,Africa,46.8,42.3,45.9
