language_family,count,SIB,Flores xx-eng,Flores eng-xx
Indo-European,79,73.7,57.5,35.9
Atlantic-Congo,35,47.6,31.3,12.6
Afro-Asiatic,21,62.0,46.3,24.5
Austronesian,21,63.4,45.8,27.4
Turkic,11,71.2,49.4,21.1
Sino-Tibetan,9,58.7,36.7,10.5
Nilotic,5,30.9,21.4,8.8
Dravidian,4,74.6,56.4,27.7
Tai-Kadai,3,66.5,45.2,19.4
Uralic,3,75.3,59.4,46.4
Austroasiatic,3,69.4,48.2,21.6
Mande,2,37.8,21.8,10.4
Japonic,1,75.5,52.4,27.0
Koreanic,1,77.0,54.6,31.8
Mongolic-Khitan,1,73.5,48.6,21.5
Constructed,1,78.4,64.1,48.8
Quechuan,1,45.6,26.2,9.9
Basque,1,70.6,53.6,31.6
Aymaran,1,35.8,21.8,6.1
Tupian,1,64.2,32.0,11.6
Kartvelian,1,76.0,51.9,10.8
