question,gemma3_reply
"Marka loo eego qoraalka, maxaa aan loo qaadan doonin tilmaan sax ah oo si guul leh loogu ciyaaro turumbada?","The correct answer is **C: Ku taxadir inaad garaacdo nootyada adigoo ku ilaalinayo gacan dabacsan.**

Here's why:

The passage explicitly states: ""Xasuusnoow inaanay jirin wax baahiya oo aad u qabto inaad ku cadaadiso furayaasha si aad codka u dheerayso sida biyaanada."" (Remember you don't need to apply pressure to the keys to make them sound louder, like with piano.)

This means you shouldn't *forcefully* hit the keys. Option C is the only one that advises against that, suggesting a gentle touch (""gacan dabacsan"" - a soft hand). The other options contradict the passage's advice about minimizing effort and avoiding excessive pressure.
"
"Markaad ciyaareyso turumbada, midkee ayaa kuwan soo socda gacan ka geysan doona kordhinta mugga?","The correct answer is **A: Xawaare badan (Higher Volume)**.

Here's why:

The prompt explicitly states that to increase volume when using a harmonica, you use the reeds with *higher air flow (xawaare badan)* and increased pressure.  The other options are incorrect:

* **B: Xoog badan (More Force):** While force contributes, the prompt emphasizes airflow.
* **C: Cadaadis yar (Less Pressure):** This is the opposite of what's needed to increase volume.
* **D: Dhaqdhaqaaqa farta oo yaraada (Less Finger Movement):** This relates to playing technique, not directly to increasing volume.
"
Maxay tahay sababta muuqaaladda telefishinada loo jaraa xuduudahooda?,"The correct answer is **B: Markaa muuqaalku wuxuu buuxiyaa shaashadda oo dhan.**

Here's why:

The passage explicitly states: ""Telefishannada badankood waxa loo sameeyaa qaab dad dadka ka farxinaya Sababtaas darteed, wax walba oo aad ku aragto talefishinka waxa laga jaray dhinacyada, xagga sare, hoose iyo dacallada. Tani ayaa loo yeelaa si uu sawirka u buuxiyo shaashada oo dhan.""

This directly translates to: ""Most televisions are made in a format that pleases people. Therefore, everything you see on television is cropped from the sides, top, bottom, and corners. This is done to fill the picture on the screen.""

Let's look at why the other options are incorrect:

*   **A: Markaa muuqaalku wuxuu buuxiyaa shaashadda oo dhan** (This is the correct answer)
*   **C: Si loogu oggolaado beddelaada fudud ee qaabab kale** (This is not mentioned in the passage)
*   **D: Si loo jaro qoraal-hoosaadyo aad ugu dhow xagga hoose** (While cropping *can* affect subtitles, the primary reason mentioned is to fill the screen).



"
"Marka loo eego marinka, dhibaatooyinka soo socda midkee la kulmi kara marka filim loo beddelayo qaab DVD?","The correct answer is **A: Muuqaal aan buuxin shaashadda oo dhan** (Muuqaal aan buuxin shaashadda oo dhan).

Here's why:

The passage explicitly states that when converting a film to DVD, it's common for the image to be cropped (cut off) to fill the entire screen. This cropping can happen on the sides, top, bottom, and edges.  If subtitles are near the edges, they might be cut off as well.  Therefore, a common problem is the image not filling the entire screen.

Let's look at why the other options are incorrect:

* **B: Qayb hoosaadyada jaran** (Bottom parts cropped): While cropping can occur at the bottom, the passage mentions cropping on multiple sides. This is not the primary, overarching problem described.
* **C: Muuqaal buuxinaya shaashadda oo dhan** (Image filling the entire screen): This is the *opposite* of the problem described in the passage.
* **D: Xuduudaha jara** (Edges cropped): This is *part* of the problem, but the general issue is that the image doesn't fully fill the screen, which encompasses more than just the edges.



"
Xaggee ku tiillay xerada ciidanka Ingiriiska?,"The correct answer is **C: Bordentown**.

The text states: ""Jeneraal John Cadwalder wuxuu soo saaray kala duwanan weerar lagu qaaday kooxaxa ciidamada British ee joogay magalada Bordentown..."" (General John Cadwalder launched various attacks on the British troops stationed in the town of Bordentown...)
"
Kee ayuu saxeexiisu ka muuqday qabyo qoraalka gacanta lagu qoray?,"The correct answer is **C: John Nixon**.

The passage states: ""Akhrintii ugu horeysa ee furanayd ee dukumeentiga waxa ku Hoolka daaradda xorriyada ku sameeyay John Nixon 8 dii Luulyo."" This means John Nixon was the first to publicly read the Declaration of Independence. The question asks where his signature appeared on the handwritten copy, and the passage directly links him to reading it.
"
"Marka laga reebo meelaha soo socda, xaggee buu ka yimid barxadka ballaaran ee Dunlap?","The correct answer is **B: Dukaanka daabacaadda ee Dunlap**.

The passage states: ""Inta lagu guda jiro habeenka inta u dhaxeysa 150 ilaa 200 koobi ayaa la sameeya oo loo yaqaano “bugaag Dunlap”.  Mid baa loo diray George Washington 6 dii Luulyo, wuxuna u akhriyay ciidamadiisa 9 kii Luulyo."" This directly indicates that the broadside came from Dunlap's printing house.
"
Xaggee ayay ku sugnaayeen Gaashaanle Sare Stark ciidamadiisa?,"The correct answer is **A: Dhammaadka dhinaca woqooyi, oo ku teedsan xeyndaabka**

The text states: ""Raga Stark waxay qateen dhamaan goobaha xudduuda ee dhamaadka qeybta waqooyiga ee goobaha gumeystayasha."" This means they secured the northernmost boundaries, which were located at the edge of the wilderness (xeyndaabka).
"
"Marka loo eego qoraalka, goorma ayay ragga Stark waasiciyeen xayndaabkooda?","The correct answer is **C: Muddadii lagu jiray mowjadda hoose**.

The passage states: ""Markii mawjad hoose dalool ka sameysay meel la siman Webiga Mystic ee ku yaal koonfurta bari ee gacan biyoodka, ayay si dhakhso leh ugu kordhiyeen dayrkii gidaar gaaban...""  This directly indicates they expanded their enclosure *during* the low tide.
"
"Marka loo eego qoraalka, kee ayaa kuwan soo socda ah mid ka mid ah waayihii ugu rabshadaha badnaa ee China ?","The correct answer is **D: Waagii Saddexda Boqortooyo**.

The text explicitly states that the era of the Three Kingdoms was one of the most turbulent periods in Chinese history, marked by intense warfare and a large number of deaths vying for power.  The other options are mentioned as periods *leading up to* or *in relation to* the Three Kingdoms period, but not as the most turbulent era itself.
"
"Marka loo eego marinka, maxaa ka run ah in kooxaha quraanyada ahi inay galeen marxalad reer guura ah?","The correct answer is **B: Waxay haystaan sahay cunto oo yar (They have little ready-made food).**

Here's why:

The passage states: ""Kooxdu waxay biloowdaa heer reer guuraanimo marka cuntada diyaarka ah yaraato"" which translates to ""The group begins a seasonal camp when ready-made food is scarce.""  This directly indicates that the reason for entering the seasonal camp is a lack of ready-made food.

Let's look at why the other options are incorrect:

* **A: Habeenkii bey buul galaan (They camp at night):** The passage states they travel at night and go to a camp during the day, but doesn't say they *camp* at night specifically.
* **C: Waxay sameeyaan buulal la beddelo 17 maalmood ka dib (They make exchangeable tents 17 days later):**  The passage says the tents are exchanged *every day*, not after 17 days.
* **D: Maalintii ayay socdaan (They travel during the day):** The passage explicitly says they travel at *night*.



"
"Sida ku xusan qoraalka, oraahdee ayaa si sax ah uga tarjumeysa hab-dhaqanka buul-ku-galka kooxaha quraanyada xilliga marxaladda reer-guuraaga?","The correct answer is **C: Waxay beddelaan buulasha maalin kasta**.

The passage states: ""Inta lagu jiro heerkan, kooxdu waxay sameysaa buulal ku meelgaara kuwaaso maalin kasta la beddelo."" (During this phase, the team makes temporary shelters which are changed every day.)

Let's look at why the other options are incorrect:

* **A: Waxay dhistaan buulal habeenkii** (They build shelters at night) - The passage says they are *temporary shelters* and are changed daily, not just built at night.
* **B: Waxay socdaan 17 maalmood iyaga oo aan buul lahayn** (They last 17 days without shelters) - The passage indicates shelters are *made* during this period, not that they are without them.
* **D: Waxay isticmaalaan buulal isku mid ah inta lagu jiro marxaladda** (They use the same shelters during the phase) - The passage explicitly states the shelters are *temporary* and *changed every day*, meaning they are not the same.



"
Midkee ka mid ah kuwan soo socda ayaa sii wadmi doona in kasta oo ay jiraan tilmaamo dibadeed?,"The correct answer is **C: Saacadaha noolaha**.

Here's why:

* **The passage explicitly states:** ""Dhaqdhaqaaqyada soo noqnoqdo, ma ahan oo keli ah jawaab celin loo samaynaayo calaamado dibadda, ayaa laga arkay badi nolaha, ee ku jiraan baktiiriyada, fungi, dhirta, iyo xayawaanka kale. Saacadaha nolaha ayaa ay saacado keligooda iswadaan oo soconayaan keligooda xitaa haday waayaan baaqyo dibadda ka imaado.""  This directly confirms that endogenous circadian rhythms (internal biological clocks) continue even in the absence of external cues.

Let's look at why the other options are less suitable:

* **A: Wareegyada Endogenous (Endogenous cycles):** While related, the passage focuses specifically on *circadian* rhythms, which are roughly 24-hour cycles. ""Endogenous cycles"" is a broader term.
* **B: Laxanka xilliyeedka (Seasonal rhythms):** These are cycles tied to the seasons (e.g., migration, hibernation) and are definitely influenced by external cues like changes in day length. The passage emphasizes rhythms independent of external cues.
* **D: Laxanka loo fiirsaday (Observational rhythms):** These are cycles that are observed but may not be internally driven. The passage contrasts these with the internal, self-sustaining rhythms.



Therefore, **Saacadaha noolaha (Circadian rhythms)** is the best and most accurate answer based on the information provided."
Kelmadee ayaa qeexaysa shakhsiyaadka muujiya kala duwanaanshiyaha sifo gaar ah?,"The correct answer is **C: Noocyada**.

Here's why:

* **The question asks for the word that defines individuals showing a specific characteristic.** The text states that when all individuals in a society are the same *with respect to a specific characteristic*, they are called a ""heysashada"" or ""lahanshaha.""  This implies the characteristic is what differentiates the individuals.
* **""Noocyada"" (Types)** refers to the different varieties or kinds of individuals based on that specific characteristic.  Therefore, it accurately describes the individuals exhibiting that distinct trait.

Let's look at why the other options are incorrect:

* **A: Hal qaable (Homogeneous)** means the opposite - all the same, not showing a specific characteristic in a differentiating way.
* **B: Noolaha (Life)** is too general. It doesn't relate to the specific characteristic being discussed.
* **D: Qaabab dhawr ah (Multiple patterns)** describes the situation where a person has multiple cultures, not the individuals *showing* a single characteristic.



"
Midkee ka mid ah kuwan soo socda ereyga saxda ah ee noolaha ku nool meel gaar ah?,"The correct answer is **C: Noocyada** (Species).

Here's why:

* **Tirada guud** refers to a group of living organisms that are similar to each other and share common characteristics. This definition aligns with the biological concept of a **species**.

Let's look at why the other options are incorrect:

* **Hal qaable** (Monotype): Refers to a population consisting of only one genotype.
* **Dadweynaha** (Population): Refers to all the individuals of a species living in a particular area.
* **Qaabab dhawr ah** (Multitype):  While the text mentions ""qaabab-badnayaal"" (multitypes) when individuals have multiple cultures, this isn't the primary term for a group of living organisms in a specific location.

Therefore, **noocyada** (species) is the most accurate answer based on the provided text and the definition of a ""tirada guud."""
Midkee ka mid ah kuwan soo socda oo aan noqon doonin tusaale dhaqdhaqaaqa dalxiiska ee ku salaysan dabeecadda?,"The correct answer is **C: Booqashada matxafka sayniska (Visiting a science museum)**.

Here's why:

* **The question asks for an activity *not* related to nature-based tourism.** The passage defines nature-based tourism as activities focused on enjoying natural landscapes, flora, and fauna.
* **Booqashada matxafka sayniska** is an indoor, educational activity that focuses on scientific concepts. While it *could* touch upon natural history, its primary purpose isn't experiencing nature directly.
* **U socoshada biyo-dhac (Hiking waterfalls), Sawir qaadista ubaxyada duurka (Wildlife photography), and Dabin-daqsiyeed kalluumaysi (Spear fishing)** are all directly related to experiencing and engaging with natural environments.

Therefore, visiting a science museum is the only option that doesn't fit the description of nature-based tourism.
"
"Sida ku cad qoraalka, kuwan soo socda kee baa saldhig u ah nidaamka gaadiidka?","The correct answer is **B: Baabuurta gaarka ah**.

The passage explicitly states: ""Xadkan gaadiid ee debecsa ee qof kasta si ugu xiran yahay, una taageerayo, waa mid ku dhisan baabuur gaar loo leeyahay."" (This flexible transportation system that everyone relies on and supports is built on private cars.)

Let's look at why the other options are incorrect:

* **A: Goobaha shaqada:** While people commute *to* workplaces, the passage doesn't say workplaces are the foundation of the system.
* **C: Aag-nololeed xasiloon:** The passage mentions stability but doesn't connect it directly to the foundation of the transportation system.
* **D: Horumarka aadanaha:** The passage mentions human evolution but doesn't state it's the base of the transportation system.

Therefore, the passage clearly indicates that **private cars** are the basis of the described transportation system.
"
Qaybaha ku wareega xudunta waxay leedahay kharash noocee ah?,"The correct answer is **B: Lacag bixin la'aan** (No cost).

The passage describes electrons orbiting the nucleus.  Electrons are fundamental particles that are *already* part of the atom; they don't need to be *bought* or *paid for* to be in orbit. Therefore, there's no cost associated with them being in their orbits.
"
Xuddunta ayaa ka kooban qaybehee?,"The correct answer is **D: Borotoono, Nuyutroonada, iyo Elektoroono (Protons, Neutrons, and Electrons)**.

The passage states that an atom is composed of protons and neutrons in the nucleus, and electrons that orbit the nucleus. Therefore, the atom is made up of all three particles.
"
"Sida ku cad qoraalka, kuwan soo socda kee baa tusaale u ah nambarka binary shan yara?","The correct answer is **A: 1010**.

Here's why:

* **Binary numbers** use only 0s and 1s.
* **The question asks for a 5-bit binary number.** This means it needs to have exactly 5 digits (bits).

Let's examine the options:

* **A: 1010** - This has 4 digits (bits).
* **B: 12001** - This uses digits 1, 2, 0, and 0, *not* just 0s and 1s, so it's not binary.
* **C: 10010** - This has 5 digits (bits) and is a valid binary number.
* **D: 110101** - This has 6 digits (bits).

Since the question asks for a 5-bit number and option A has only 4 digits, while option C is a valid 5-bit binary number and option D is 6-bit, **option C is the best answer as it is a 5-bit binary number.**
"
Tirooyinka baynari maxaa sidoo kale loo yaqaan?,"The correct answer is **C: luqad gaar ah**

Here's why:

* **Binary numbers** are a specific *language* used by computers. They are the fundamental way computers represent and process information.

Let's look at why the other options are incorrect:

* **A: Qeybo (Parts):** While binary represents parts of information, it's not *called* parts.
* **B: Qiimaha (Values):** Binary *represents* values, but the term for the system itself isn't values.
* **D: Foomamka (Forms):** Binary is a *form* of representation, but it's not accurately described as ""forms.""



"
Midkee ka mid ah kuwan soo socda oo aan lagu sheegin marinka faa'iidada aasaasiga ah ee boloogyaynta ardayga?,"The correct answer is **B: Hoos u dhaca dhaleeceynta asxaabta**.

Here's why:

* The passage states that blogs initially involve basic writing, but peer feedback helps improve writing and reduces criticism. While reducing criticism *is* a positive outcome, it's presented as a *result* of the blog environment, not a fundamental benefit *of* blogging itself.

Let's look at why the other options *are* fundamental benefits mentioned in the passage:

* **A: Horumarinta naxwaha iyo awoodda qoraalka (Improving grammar and writing ability)** -  Explicitly stated as a benefit.
* **C: Wacyigelinta deegaanka ee la ballaariyay (Expanded environmental awareness)** - Directly mentioned.
* **D: Rabitaanka sii kordhaya ee waxbarashada (Increasing motivation for learning)** -  Clearly stated as a result of the engaging blog environment.



"
Midkee ka mid ah dhinacyada soo socda ee boloogyaynta ayaa lagu sheegay dhiirigelinta ardayda si ay u horumariyaan xirfadahooda qoraal?,"The correct answer is **C: Ilaalinta xiisaha dhagaystayaashooda.**

Here's why:

The passage explicitly states: ""Baahida loo qabo in lagu quudiyo xiisaha daadwadayaasha ayaa ardayda kudhirigilisa iney xariif noqdaan oo ey xiiseyaan (toto,2004).""  This directly connects the motivation to keep readers engaged with the desire to improve writing skills. Options A, B, and D are not supported by the passage as the primary driver for improved writing.



"
Midkee ka mid ah kuwan soo socda oo aan faa'ido u lahayn isgaarsiinta isku midka ah ee ardayda? ,"The correct answer is **B: U gelida fool ka fool ah ee macalimiinta wakhti kasta ee maalinta ah.**

Here's why:

The passage highlights that online communication *enhances* time efficiency and allows for questions to be asked and answered *quickly*, even when the teacher isn't available in person. Option B, ""U gelida fool ka fool ah ee macalimiinta wakhti kasta ee maalinta ah,"" directly contradicts this. It implies a need for constant in-person interaction, which the passage suggests online communication reduces.

The other options are all benefits mentioned in the passage:

*   **A: U isticmaalka internetka khayraad ahaan:** The passage states that online resources make information accessible at any time.
*   **C: Dabacsanaanta saacadaha shaqada:** The passage explicitly mentions flexibility in scheduling.
*   **D: Xakamaynta xawlliga:** While not directly stated, online communication can facilitate tracking progress and managing assignments.



"
"Marka loo eego qoraalka, dhinacyada soo socda ee isgaarsiinta asynchronous midkee ayaan u dabacsanayn ardayda?","The correct answer is **B: Saacadaha shaqada (Work hours)**.

Here's why:

The passage highlights the flexibility of asynchronous communication, specifically mentioning:

*   **""waqti xadidid yar iyo macquul galka shaqeyn saacado kala duwan""** (limited time constraints and flexible work hours). This emphasizes that asynchronous communication isn't bound by fixed schedules.
*   **""waqti walbo oo maalinka sidoo kale na sugan karo jawaabo si dhaqso ah""** (can get answers at any time of day, even when the teacher is not available).

Options A, C, and D are all facilitated by asynchronous communication:

*   **Xawlliga waxbarashada (Educational transfer):** Asynchronous communication allows for the transfer of information and ideas over time.
*   **Qalabka waxbarashada (Educational tools):** Websites and online tools are key to asynchronous learning.
*   **Isticmaalka internetka (Internet usage):** The internet is the primary medium for asynchronous communication.

Therefore, the only aspect that is *not* flexible with asynchronous communication, according to the passage, is the traditional concept of fixed work hours.



"
Maxaan qoraalka loogu xusin wax laga yaabo in lala xiriiriyo qalcadaha xilliga dhexe?,"The answer is **B: Baasheyaal**.

The passage explicitly mentions ""sawiro baasheyaal"" (images of battle banners) as part of the imagery associated with the castles of the Middle Ages. The passage also discusses the evocative power of these images, hinting at the stories and conflicts they represented.
"
Kuwan soo socda kee baa aan qoraalka loogu xusin sida ur ama dhawaaq laga yaabo in lagu dhex qariyo burburka qalcad?,"The correct answer is **D: Qoobab (Screams)**.

Here's why:

The passage explicitly mentions ""qoobka fardaha iyo urta baqdinta ka soo baxeysa godadka waaweyn"" which translates to ""the screams and the sound of fear coming from the large pit."" This directly connects screams to the atmosphere of a besieged fortress.

Let's look at why the other options are less suitable:

*   **A: Dagaallada (Battles):** While battles certainly happened during sieges, the passage focuses more on the auditory impact – specifically sounds *within* the fortress, not the battles themselves.
*   **B: Cabsi (Fear):** Fear is a general emotion, and while present, the passage highlights specific sounds associated with fear – screams, the sound of panic.
*   **C: Xafladaha (Celebrations):** Celebrations are the opposite of the atmosphere described in the passage.

Therefore, screams are the only option directly linked to the passage's description of sounds that could mask the sounds of a fortress falling.
"
Kuwan hoose midkeebaa ah sifaynta saxda ah ee Qalcadda Kirby Muxloe ?,"The correct answer is **B: Waxay u baahneed xoojinta ugu yar iyadoo ay ugu wacan tahay nabdoonaanta uu dalku ku jiro xilliga la dhisayo.**

Here's why:

* The passage states: ""1480yadii, markii dhismahiisa uu dhammaystiray Lord Hastings, waddanku xoogaa buu nabdoonaa waxana difaaca looga baahnaa oo qudha budhcad yar oo wareersan."" (In the 1480s, upon its completion by Lord Hastings, the country was somewhat peaceful and defense was needed only from a small, scattered band.)

This directly supports the idea that the castle didn't require significant fortifications because the country was relatively peaceful at the time of its construction. The other options are incorrect because:

* **A:** The passage doesn't mention the specific design of the walls being requested by Lord Hastings.
* **C:** The passage implies it wasn't a particularly lengthy construction period.
* **D:** The passage states the castle *didn't* need to withstand long, decisive attacks due to the peaceful period.



"
Midkeebaa sifooyinkan dhosmeed ee hoose loo tixgelin karaa inay caadi u tahay qalcadda Kirby Muxloe xilliga mudada lagu qeexay mariska?,"The correct answer is **C: Dhufays ka yar qalcadaha qaar** (Lower curtain walls).

Here's why:

* **The passage states:** ""1480yadii, markii dhismahiisa uu dhammaystiray Lord Hastings, waddanku xoogaa buu nabdoonaa waxana difaaca looga baahnaa oo qudha budhcad yar oo wareersan."" (In the 1480s, when its construction was completed by Lord Hastings, the country was somewhat peaceful and there was only a small, well-trained garrison needed for defense.)
* **This implies:** The need for extensive fortifications was reduced.  Therefore, the curtain walls (the outer walls of a castle) wouldn't need to be as thick as those of earlier, more heavily defended castles.
* **Option A (Daaqado waaweyn - Large windows):**  Large windows are *not* typical of defensive castles. They would be a vulnerability.
* **Option B (Aasaaska loo dhisay inuu xajiyo weerarada - Foundation built to repel attacks):** While a strong foundation is always important, the passage indicates a reduced need for heavy defense, so an exceptionally robust foundation isn't a distinguishing feature of Kirby Muxloe at this time.
* **Option D (Darbiyo dhuuban - Thick curtain walls):**  As explained above, the passage implies thinner walls were sufficient.

Therefore, the relatively thin curtain walls (dhufays ka yar qalcadaha qaar) are the most plausible characteristic that aligns with the reduced need for heavy defense in the 1480s.



"
"Sida ku cad qoraalka, kuwa soo socda kee baa ugu faa'iidada badan orodyahanka isu diyaarinaya xilli ciyaareedka soo socda?","The correct answer is **D: Ka faa'iidaysiga jimicsiga si aad u hagaajiso jirka qaarkiisa sare.**

Here's why:

The text explicitly states: ""Wadamada qaar marka la ordaya xiliga jilaalka waxa la isku keena jimicsiga jirka qeybta sare, waana habka ugu fiican loogu diyaar garoobo oradka xiliga.""  This translates to: ""Some countries, when walking in the winter, combine the exercise of the upper body, and it is the best way to prepare for walking in the season.""

Therefore, focusing on upper body exercise is the recommended preparation method mentioned in the passage.
"
"Sida ku cad qoraalka, kuwan soo socda keebaa muhiimad weyn u leh orodyahanka heerka koowaad ee nus-mayl-ka?","The correct answer is **D: Ku kobcinta xawaaraha saa’idka ah ee u adkeysiga.**

Here's why:

* The passage explicitly states: ""Dab can, qeybta ugu horeysa orodka haafka maylka ah, nin ka ku jabin kara laba daqiiqo, waa inuu hantiyo xawaare macquul ah, laakin adkeysigu waa inuu la bartaa qasaaraha ka iman kara."" (Meaning: ""However, in the first part of the uphill walk, a person who can take two minutes should acquire a reasonable pace, but should also learn to tolerate the damage that can come from it."")
* The focus is on developing the ability to maintain a pace (xawaare) while also building endurance (adkeysi) to withstand the effort.

Let's look at why the other options are incorrect:

* **A: Ku tababarashada ku orodka baadiye-dhex gudubka muddada bilaha jiilaalka** (Training to walk in the wilderness during the winter months) - While mentioned as a good preparation method, it's not the *primary* focus for a beginner on a half-mile walk.
* **B: Ku kobcinta u adkeysiga xawaaraha saa’idka ah** (Building endurance for hourly pace) - This is partially correct, but it doesn't emphasize the importance of *acquiring* a reasonable pace as much as option D.
* **C: Saacad gaarsiinta wax ka yar laba daqiiqo** (A clock showing less than two minutes) - This is irrelevant to the core message of the passage.

Therefore, option D best reflects the key takeaway about what a beginner should focus on when tackling a half-mile walk uphill.
"
"Ciyaartooy ciyaaraha fudud, kuwan soo socda kee baan lagu gaari karin hab-dhaqannada nafaqeynta oo keliya?","The correct answer is **C: Fulin hawleed sare (Enhanced peak performance)**.

Here's why:

The passage states that while nutrition is crucial, it's not *enough* to produce top-tier athletes. It highlights the importance of balanced nutrition, healthy habits, and understanding of different lifestyles.  ""Enhanced peak performance"" implies exceeding basic fitness levels and achieving elite status, which requires more than just good nutrition. It likely involves training, genetics, mental fortitude, and other factors not directly addressed by the passage's focus on lifestyle and habits.

Let's look at why the other options are less suitable:

*   **A: Fulin hawleed la hagaajiyay (Improved functional fitness):**  Improved functional fitness *can* be achieved through good nutrition and healthy habits.
*   **B: Raaxada oo korodhay (Increased recovery):**  Good nutrition and habits definitely contribute to better recovery.
*   **D: Caafimaad qabka guud (Overall health):** This is a direct result of the lifestyle factors mentioned in the passage.



"
"Iyada oo ku salaysan qoraalka, kee baa kuwan soo socda aan loo soo jeedin si ay dhallinyaradu ugu raaxeystaan ciyaartooda?","The correct answer is **D: Ilaalinta dheelitirka tamarta caafimaadka leh.**

Here's why:

* The passage explicitly states: ""Joogtaynta dheelitir tamareed caafimaad leh, ku dhaqmista dhaqan cabbis wax ku ool ah, iyo fahamka dhaqamada kaabiseed ee kala duwan ayaa ciyaartoyda ka caawin kara inay kor u qaadaan waxqabadkooda kordhiyaana ku raaxeysiga ciyaartooda."" (Maintaining a healthy energy balance...will help athletes improve their performance and enjoy their sport.)

Let's look at why the other options are incorrect:

* **A: Ku celcelinta nafaqada habboon:** While mentioned, it's part of the larger concept of ""dheelitir tamareed caafimaad leh.""
* **B: Si joogto ah ugu soo bandhiga heer sare:** This isn't directly mentioned in the passage.
* **C: Saameynta fuuq baxa:** This isn't mentioned at all.



"
"Sida ku cad qoraalka, maxaa looga yaabaa in orodyahanka masaafada dhexe uu u iibsado qalab ka qaalisan?","The correct answer is **D: Waxaa jira fikrado khaldan ku hareeraysan qalab aan qaali ahayn.**

Here's why:

The passage explicitly states that many cheaper tools don't have much impact or effectiveness. This suggests that long-distance runners might mistakenly believe they need expensive tools to improve, even if those tools aren't actually worthwhile.  Options A, B, and C directly contradict the passage's assertion that cheaper tools are often ineffective.
"
"Sida ku xusan qoraalka, orodka masaafada dhexe maxay u baahantahay?","The correct answer is **A: Qalab fara badan (Many tools)**.

The passage explicitly states: ""however, there is a lot of misunderstanding about several pieces of equipment needed to participate in it."" This directly indicates that many tools are required for distance running.
"
Yaa helay risonaanska bir-qabadka ee nukleerka? ,"The correct answer is **C: Bloch iyo Purcell**.

The passage states: ""MRI waxa sal u ah aragti fiisigiseed loo yaqaan nuclear magnetic resonance (NMR), oo uu helay 1930yadii Felix Bloch (oo ka shaqaynaya Jaamacadda Standford) iyo Edward Purcell (oo ka socday Jaamacadda Harvard)."" 

Therefore, Bloch and Purcell are credited with discovering nuclear magnetic resonance.
"
Sanadkee ayaa la bixiyay rukhsadii hinidisada ee ugu horaysay ee sawirqaadista caafimaad ee aaladda resonance? ,"The correct answer is **B: 1974**.

The text states: ""Afar sano ka dib waxaa la bixiyay batente ama xuquuqda soo saarka, oo ahaa bateentaha aduunka ugu horeeyey ee lagu bixiyay MRI. Sanadka 1977, Dr. Damadian wuxuu gabagabeyey dhismaha kowad “jirkoo-dhan” Baaraha MRI, kaas oo uu ugu magic daray “Lamajabiyaan”.""

This indicates the patent/exclusive rights (which is a form of license) were granted in 1974, and the first whole-body MRI was completed in 1977.
"
"Sida ku xusan qoraalka, maxay dadku u leeyihiin awood fahan wacan marka loo eego fasirida ficil jireedka dadka kale?","The correct answer is **D: Garasho (Empathy)**.

The passage explicitly states that the ability to understand the meanings of others' actions is important for resolving the apparent illogicality of actions. This is a core component of **empathy**, which is the ability to understand and share the feelings of another. 

Here's why the other options are incorrect:

* **A: Rabitaan (Desire/Wanting):** While desires can motivate actions, the passage focuses on understanding the *reason* behind the actions, not just the desire.
* **B: Niyaysi (Intention):**  Intention is related to the reason for an action, but empathy goes further by understanding the emotional context and potential underlying motivations.
* **C: Aaminaad (Trust):** Trust is related to believing someone, but not necessarily understanding *why* they acted a certain way.



"
"Sida ku xusan qoraalka, fahanka ulajeedada dadka maxay bay ka caawisaa inay sameeyaan?","The correct answer is **A: Meesha in laga saaro waxa ka dambeeya hubanti la'aanta ficilada jiraka.**

Here's why:

The text states: ""Waxa ay inaga caawineyga inaan xalino macquul galka jahwareerka ficilo."" This translates to ""It helps us to resolve the irrationality of actions.""  The example given is someone breaking a car window – we don't automatically assume they're breaking it to steal the car. Understanding the *intention* (the meaning behind the action) helps us to arrive at a more logical explanation for the behavior.

Let's look at why the other options are incorrect:

*   **B: Saadaalinta rabitaanada** (Predicting desires): While understanding intentions *can* inform desires, the text focuses more on understanding the *meaning* of actions, not just desires.
*   **C: Ufiirso dadka kale adoon xukmin** (Observe other people without judgment):  The text actually argues that *judging* is necessary to understand intentions - we need to make a logical judgment to explain actions.
*   **D: Akhri maskaxda dadka kale** (Read other people's minds): The text explicitly says that understanding intentions is important, but doesn't mean we are reading minds. It's about making logical deductions from observable behavior.



"
