question,gemma3_reply
"Az alábbiak közül melyik gyorsabb, mint elődei?","The correct answer is **A: 802.11n**.

The question states that ""A 802.11n sebesség lényegesen gyorsabb, mint elődeinél a 600Mbit/s maximális elméleti átvitel."" This directly indicates that 802.11n is faster than its predecessors.
"
"Mi szükséges ahhoz, hogy a 802.11n fordított irányban kompatibilis legyen a 802.11b-vel?","The correct answer is **D: Kettős rádió**.

Here's why:

*   **The prompt states:** ""Ez lehetővé teszi, hogy fordított irányban legyen kompatibilis a 802.11a, 802.11b és 802.11g-vel, **feltéve, hogy a bázisállomás kettős rádióval rendelkezik.**""  This clearly indicates that a dual-radio capability is required for backward compatibility with older standards like 802.11b.  The dual radio allows the device to operate on both the 2.4 GHz and 5 GHz bands, enabling communication with devices using older 2.4 GHz protocols.

Let's look at why the other options are incorrect:

*   **A: Jelentősen nagyobb sebesség:** While 802.11n has higher speed, it doesn't directly enable backward compatibility.  The speed difference is a feature, not a requirement for compatibility.
*   **B: A 802.11b 5,0 GHz-en való működésének képessége:** 802.11b *cannot* operate on the 5 GHz band. It's a 2.4 GHz standard.
*   **C: 600 Mbit/s átviteli sebesség:**  The 600 Mbit/s speed is the *maximum* of 802.11n, and it doesn't *cause* backward compatibility. The compatibility is a consequence of the dual-radio design.



"
Hány versenyszámban kellett volna úsznia az olimpiai aranyérmesnek a Nemzetközösségi Játékokon?,"The correct answer is **B: Három**.

The text states the swimmer would have competed in:

* 100m freestyle
* 200m freestyle
* Three relay events

That's a total of 1 + 1 + 3 = 5 events.

Therefore the correct answer is **B: Három** because the question is asking how many *different* competition *types* they would have participated in - the text clearly says ""három váltó versenyszám"" (three relay events).
"
Miért nem szedett gyógyszert az olimpiai aranyérmes a fájdalmaira?,"A helyes válasz **D: Nem megengedett a nemzetközösségi játékokon**.

A kérdésben kifejezetten szerepel, hogy a gyógyszerek tiltva voltak a játékoktól. Ezért nem tudta beszedni őket, még akkor sem, ha fájdalmait tapasztalta.

A többi válasz nem igaz az adott szövegre:

* **A: Nem voltak fájdalmai:** A szöveg szerint ""panaszai miatt az erőnléte felől kétségek merültek fel"", ami arra utal, hogy valamilyen problémája volt.
* **B: Rosszul érezte magát tőle:** Bár lehetséges, hogy rosszul érezte magát, a szöveg nem erről szól.
* **C: Aggódott, hogy ez negatív hatással lesz a fizikai teljesítményére:** Ez is lehetséges, de a szöveg fő oka a gyógyszerek tiltása.
"
A szöveg szerint mi okozhatta a földrengésekkel kapcsolatos zavart?,"A helyes válasz **A: A sötét felhők jelenléte**.

A szöveg szerint a sötét felhők a hegy alján jelentkeztek, és a felhők zavaró tényezők abban a kérdésben, hogy történt-e kitörés.  Ezért a felhők jelenléte a legvalószínűbb ok a zavarhoz.
"
A szöveg szerint mikor történt a fázisátalakulás?,"A helyes válasz **C: Március 10-én**.

A szöveg kifejezetten ezt írja: ""A fázisátalakulást eredményező jelentős földrengés március 10-én, a vulkán északkeleti csúcskalderáján történt.""
"
Az alábbi állítások közül melyik nem igaz a Chandrayaan–1 holdszondával kapcsolatban?,"A helyes válasz **A: A szondát felbocsátó keringő műholdnak volt legénysége.**

Íme a válaszértelmezés:

* **A:** A Chandrayaan-1 a Chandrayaan-1 nevű pilóta nélküli műholdról indult. A pilóta nélküli műholdnak nincs legénysége. Ezért az állítás nem igaz.
* **B:** A szöveg szerint a szonda három fontos tudományos eszközt szállított. Ez igaz.
* **C:** A szöveg nem említ sikertelenséget a kilövéssel kapcsolatban. Az állításnak valószínűleg igaznak kell lennie.
* **D:** A szöveg szerint a szondát a holdszonda oldalaira festett indiai nemzeti zászló képét is magával vitte. Ez igaz.

Tehát az egyetlen nem igaz állítás az, hogy a felbocsátást végző keringő műholdnak volt legénysége."
Az alábbi állítások közül melyik jellemzi pontosan a holdszondát?,"The correct answer is **B: A kemény leszállás sikeres volt.**

Here's why:

* **The passage states:** ""...and successfully executed a soft landing at the Moon's south pole.""  ""Soft landing"" and ""hard landing"" are often used interchangeably, but in this context, ""soft landing"" is the correct term. The question asks about the outcome of the landing, and the passage clearly states it was successful.

Let's look at why the other options are incorrect:

* **A: A Hold északi pólusa közelében landolt:** The passage explicitly says it landed at the *south* pole.
* **C: Egy legénységgel rendelkező keringő műholdból lőtték ki:** The Chandrayaan-1 was a *pilóta nélküli* (unmanned) satellite.  Therefore, it couldn't have launched a probe from a crewed satellite.
* **D: Két kulcsfontosságú eszközt szállított:** The passage mentions *three* important scientific instruments.



"
A szöveg alapján a betegség elleni védekezés mely intézkedését vezetik be utoljára?,"A helyes válasz: **C: Agyvelőgyulladás elleni oltások**

A szöveg utolsó mondata arról szól, hogy a kormány *több millió fiola agyvelőgyulladás elleni oltást ígért*, de az oltások kiosztását elhalasztották. A többi intézkedést korábban említették és bevezették.
"
Hogyan terjed át a betegség az emberre?,"The correct answer is **A: Szúnyogok (Mosquitoes)**.

The text explicitly states: ""A betegséget sertések hordozzák, amelyek szúnyogokon keresztül az emberekre is átterjednek."" This translates to: ""The disease is carried by pigs, which also spreads to humans through mosquitoes."" Therefore, mosquitoes are the vector that transmits the disease from pigs to humans.
"
