question,gemma3_reply
"Hashingiwe ku nyandiko, ni iki kitafatwa nk’inama nziza yo gucuranga neza akorudewo?","The correct answer is **B: Ntugerageze gukora ibintu byinshi byananiza intoki zawe.**

The passage explicitly states: ""Reba neza niba ukuboko kwawe koroheje bishoboka mu gihe ukanda ku manota yose uko bikwiye – na none ntugerageze gukora ibintu byinshi byananiza intoki zawe.""  This directly advises against overexerting yourself.

Let's look at why the other options are incorrect:

* **A: Gukanda utubuto n'imbaraga nyinshi kugira ngo wongere amajwi:**  The passage *discourages* this.
* **C: Reba neza niba ukuboko kwawe koroheje bishoboka mu gihe ukanda ku manota:** While the passage *mentions* looking for comfortable hand positioning, the *main advice* is not just about comfort but avoiding excessive force.
* **D: Wongere umuriro, ukoresha ibintu bikurikira ukoresheje umuvumba mwinshi cyangwa umuvuduko:** This is a description of a technique, not the primary piece of advice. The passage advises *against* using excessive force.



"
"Igihe ucuranga korudewo, ni iki mu bikurikira kizagufasha kongera amajwi?","The correct answer is **A: Kongera umuvuduko (Increase the velocity)**.

The text explicitly states: ""Wibuke ko nta mpamvu yo gukanda utubuto n'imbaraga nyinshi kugira ngo wongere amajwi nko kuri sentetizeri. Kuri Korudewo, kugira ngo wongere umuriro, ukoresha ibintu bikurikira ukoresheje umuvumba mwinshi cyangwa umuvuduko"" (Remember that there's no reason to press the keys with too much force to increase the volume like on a synthesizer. On a Rhodes, to increase the volume, you use either a lot of vibrato or velocity).

Therefore, increasing the velocity (how hard you strike the keys) is the correct way to increase the volume on a Rhodes.
"
Kubera iki ikintu cyose ubona kuri televiziyo kiba gikaswe umuzenguruko?,"The correct answer is **B: Kugira ngo umenye neza ko ishusho yose ikwiriye muri ekara**

Here's why:

The paragraph explicitly states that TV producers frame everything to ensure the entire image fits within the frame.  This is done to create a visually appealing and standard look. Option B directly reflects this reason.

Let's look at why the other options are incorrect:

* **A: Kugira ngo hagaragare videwo ifite ibisobanuro byegereye cyane igice cyo hasi:** While close cropping *can* be done, the main reason for the framing is to fill the entire frame, not just focus on the bottom.
* **C: Kugira ngo ugerageze guhindura filimi mu buryo:** The paragraph is about the *resulting* problem when converting to DVD, not the process of conversion.
* **D: Kugira ibisobanuro byegereye cyane igice cyo hasi:** This is too narrow a focus. The framing is about the *entire* image.



"
"Hashingiwe ku nyandiko, ni ikihe mu bibazo bikurikira umuntu ashobora guhura na cyo igihe ashyira filimi kuri DVD?","The correct answer is **A: Imwe mu bice by'amashusho bitagaragara**.

The text explicitly states that a common problem when converting a movie to DVD is that some parts of the footage won't be visible. This is due to the way televisions are designed to frame the image.
"
Inkambi y’Abongereza yari he?,"The correct answer is **C: Bordentown**.

The passage states: ""Jenerali John Cadwalder yagabye igitero cyo kurangaza ku nkambi y’Abongereza i **Bodentown**..."" which is a variation of Bordentown.
"
Umushinga wandikishijwe intoki washyizweho umukono na nde?,"The correct answer is **B: George Washington**.

The passage states: ""Imwe yohererejwe kwa George Washinton kuwa 6 Nyakanga..."" which means one copy was sent to George Washington. While John Hancock signed the document, and John Dunlap printed the broadsides, the passage indicates George Washington received a copy.
"
"Mu hantu hakurikira, ni he amatangazo ya Danilapu yageze nyuma?","The correct answer is **C: London**.

The text states: ""Kopi yayo yageze i London kuwa 10 Kanama."" which translates to ""Its copy arrived in London on May 10th.""
"
Ingabo za koloneri Stark zari he?,"The correct answer is **A: Zafashe ibirindiro ku rukuta ku mpera y’amajyaruguru y’ibirindiro by’Abakoloni.**

The provided text explicitly states: ""Ingabo za Stark zafashe ibirindiro ku rukuta ku mpera y’amajyaruguru y’ibirindiro by’Abakoloni.""
"
"Hashingiwe ku nyandiko, abantu ba Stark baguye urukuta ryari?","The correct answer is **B: Kugeza abahatuye bahatambutse**.

The text states: ""Gridley cyangwa Stark yashyize kuri fiti 100 (30 m) imbere y’urukuta kandi ategeka ko nta wurasa kugeza abahatuye bahatambutse."" (Gridley or Stark placed a line 100 (30 m) in front of the fort and ordered no one to fire until the inhabitants had passed.)

This clearly indicates the purpose of the line was to allow people to pass safely.
"
"Hashingiwe ku nyandiko, ni ikihe mu bihe by’Ubushinwa cyabayemo intambara ikomeye?","The correct answer is **D: Igihe cya Three Kingdoms**.

The text explicitly states: ""Igihe cya Three Kingdoms cyari kimwe mu gihe cyamenetsemo amaraso mu mateka y'Ubushinwa bwa kera abantu ibihumbi bapfuye barwanira kwicara ku ntebe z’icyubahiro mu ngoro nkuru ya Xi'an."" (The Three Kingdoms period was one of the bloodiest periods in ancient Chinese history, with thousands of people dying vying for power in the imperial palace in Xi'an.)

While the text mentions Xi'an, it's the Three Kingdoms period that is specifically identified as the time of significant warfare.  The other options are not supported by the text.
"
