question,gemma3_reply
Welke uitspraak over de gasten van het hostel is onjuist?,"Het correcte antwoord is **D: De meeste gasten kwamen uit de heilige stad**.

Hier is waarom:

* **A: Ze waren in Mekka voor een pelgrimstocht:** Dit is correct, de tekst zegt dat de gasten pelgrims waren.
* **B: Sommige gasten waren geen lokale inwoners:** Dit is correct, de tekst vermeldt expliciet dat de meeste gasten uit de Verenigde Arabische Emiraten kwamen, wat betekent dat er ook gasten uit andere landen waren.
* **C: De gasten waren daar op de vooravond van de Hajj:** Dit is correct, de tekst zegt dat de gasten de avond van de Hajj-pelgrimstocht bezochten.
* **D: De meeste gasten kwamen uit de heilige stad:** Dit is **onjuist**. De tekst stelt dat de meeste gasten uit de Verenigde Arabische Emiraten kwamen, niet uit Mekka zelf."
Welke uitspraak is waar volgens de tekst?,"The correct answer is **C: De gasten waren daar op de vooravond van de Hajj-pelgrimstocht.**

Here's why:

* **The text explicitly states:** ""...een aantal pelgrims die de heilige stad bezochten op de avond van de Hajj-pelgrimstocht."" (a number of pilgrims who visited the holy city on the evening of the Hajj pilgrimage).
* **Option A is incorrect:** The text clearly states that at least 15 people have died.
* **Option B is incorrect:** The text says ""De meeste gasten van het hostel waren inwoners van de Verenigde Arabische Emiraten,"" not that *all* guests were from there.
* **Option D is incorrect:** The text states that the majority of guests were from the United Arab Emirates, not local residents of Mecca."
Welke informatie over de botsing is volgens de tekst onzeker?,"The correct answer is **A: The size of the collision**.

Here's why:

* The text explicitly states, ""Wetenschappers zeggen dat door de botsing een enorme explosie is ontstaan. Ze proberen nog steeds te achterhalen hoe groot de botsing is geweest..."" This directly indicates the size is currently unknown.

Let's look at why the other options are incorrect:

* **B: The location of the collision:** The text states the collision happened ""491 miles above Earth."" This location is specified.
* **C: The impact of the collision on Earth:** The text says scientists are trying to determine the impact, implying it's uncertain, but the question asks what is *already* stated as uncertain. The text says they ""proberen nog steeds te achterhalen hoe deze de aarde zal beïnvloeden,"" which shows the impact is still unknown. However, the *size* of the collision itself is explicitly stated as being under investigation.
* **D: The location of the debris:** The text mentions the United States Strategic Command is ""trace[ing] the debris"" and the results are posted on a public website. This implies the location of the debris *is* being tracked and is known, even if not detailed in the provided snippet.

Therefore, the most definitively uncertain piece of information according to the text is the **size of the collision**."
Wat moet er volgens de tekst nog worden achterhaald over de botsing?,"The correct answer is **D: De exacte omvang van de botsing** (The exact extent of the collision).

The text explicitly states: ""Wetenschappers zeggen dat door de botsing een enorme explosie is ontstaan. Ze proberen nog steeds te achterhalen **hoe groot de botsing is geweest** en hoe deze de aarde zal beïnvloeden."" (Scientists say that an enormous explosion occurred due to the collision. They are still trying to find out **how big the collision was** and how it will affect the Earth.)

Let's look at why the other options are incorrect:

* **A: Wie het traceren van het puin voor zijn rekening neemt** (Who is taking charge of tracing the debris) - The text states the United States Strategic Command is tracing the debris, but it doesn't say this needs to be determined.
* **B: Hoe snel de satellieten zich voortbewogen op het moment van de botsing** (How fast the satellites were moving at the moment of the collision) - This information is given in the text: ""De satellieten, die beide meer dan 1.000 pond wogen en zich met ongeveer 17.500 mijl per uur voortbewogen..."" (The satellites, which both weighed over 1,000 pounds and were moving at approximately 17,500 miles per hour...)
* **C: Hoe het resultaat van de plotanalyse wordt gedeeld** (How the result of the plot analysis is being shared) - The text mentions the result is placed on a public website, but it doesn't say how it's being shared.



"
Op welke plek stond Batten ooit op de lijst met rijkste Amerikanen?,"The correct answer is **C: 190**.

The question asks ""Op welke plek stond Batten ooit op de lijst met rijkste Amerikanen?"" (On which place did Batten once stand on the list of the richest Americans?). The provided text states: ""Batten stond in 2008 op plaats 190 op de lijst van de 400 rijkste Amerikanen..."" (Batten stood in 2008 in place 190 on the list of the 400 richest Americans...).

Therefore, the answer is 190."
Waar doneerde Batten geld aan?,"The correct answer is **B: De universiteit van Virginia**.

The passage states: ""In 1950 haalde hij een diploma aan het College of Arts & Sciences aan de universiteit van Virginia en later doneerde hij er veel geld aan."" This directly indicates that he donated to the University of Virginia."
Wat maakt geen deel uit van het wetsvoorstel dat door gouverneur Arnold Schwarzenegger is ondertekend?,"The correct answer is **C: Een verbod op de verkoop of verhuur van gewelddadige videogames aan minderjarigen buiten Californië**.

Here's why:

*   The text explicitly states the law applies to sales *in the state of California*.
*   The law does address sales and rentals to minors *within California*.
*   It also mentions fines for violating the law in California.
*   Finally, it mentions the ""18+"" sticker requirement for games sold in California.

Therefore, the law does *not* cover sales/rentals outside of California.



"
Wie hoorde(n) niet wat er werd gezegd?,"The correct answer is **C: Miller**.

Here's why:

The statement explicitly says, ""Ik was me aan het voorbereiden, dus luisterde niet echt naar hem"" (I was preparing, so I wasn't really listening to him). This indicates Miller didn't hear what Mike (Mike = Duvall) was saying.

Let's look at why the other options are incorrect:

* **A: De kinderen van Duvall:** The passage doesn't mention the children's ability to hear.
* **B: Mike:** Mike was speaking, so he would have heard himself.
* **D: Duvall:** Duvall was speaking, so he would have heard what he said."
Welke uitspraak over Millers ervaring tijdens de hoorzitting is volgens de tekst juist?,"The correct answer is **B: Hij lette niet op terwijl hij zich aan het voorbereiden was.**

Here's why:

* The text states: ""Mike praat veel tijdens de zitting ... Ik was me aan het voorbereiden, dus luisterde niet echt naar hem."" (Mike talks a lot during the hearing... I was preparing, so I didn't really listen to him.)
* This directly supports option B.

Let's look at why the other options are incorrect:

* **A: Duvall maakte indruk op Miller:** The text explicitly says Duvall ""made no big impression on Miller.""
* **C: De twee kinderen van Duvall praatten veel tijdens de hoorzitting:** The text doesn't mention Duvall's children at all.
* **D: Hij luisterde goed naar wat Duvall vertelde:** The text clearly states Miller *didn't* listen properly because he was preparing."
Wie stelde voor om de 'Clean Air Act' te herschrijven?,"The correct answer is **C: Jack Layton**.

The text explicitly states: ""Tijdens de vergadering met de Minister-president vroeg Layton om veranderingen in de milieuwet van de conservatieven, waarbij hij vroeg om het 'grondig en volledig herschrijven' van de milieuwet van de conservatieve partij."" (During the meeting with the Prime Minister, Layton asked for changes to the conservative party's environmental law, requesting a 'thorough and complete rewrite' of the conservative party's environmental law.)"
