question,gemma3_reply
उताऱ्यात उल्लेख केल्याप्रमाणे खालीलपैकी कोणते क्षेत्र व्हेनेझुएलाच्या सर्वांत कमी लोकांना रोजगार प्रदान करते?,"या प्रश्नाचे योग्य उत्तर **C: तेल** आहे.

**स्पष्टीकरण:**

उतारात स्पष्टपणे सांगितले आहे की व्हेनेझुएलाच्या लोकांपैकी फक्त 1% लोक तेल उद्योगात काम करतात. इतर क्षेत्रांची टक्केवारी खालीलप्रमाणे आहे:

*   शेती: 1/5 भाग = 20%
*   उद्योग: 1/4 भाग = 25%
*   सेवा: 2/3 भाग = 66.67%

यावरून हे स्पष्ट होते की तेल उद्योग व्हेनेझुएलामध्ये सर्वात कमी लोकांना रोजगार देतो."
"उताऱ्यातनुसार, खालीलपैकी कोणते क्षेत्र व्हेनेझुएलाच्या सर्वात जास्त लोकांना रोजगार प्रदान करते?","या प्रश्नाचं योग्य उत्तर आहे: **A: सेवा**

**स्पष्टीकरण:**

उतारा स्पष्टपणे सांगतो की व्हेनेझुएलातील 2/3 (दोनतृतीयांश) काम करणारे लोक सेवा क्षेत्रात काम करतात. इतर क्षेत्रांच्या तुलनेत हे प्रमाण सर्वाधिक आहे. त्यामुळे, सेवा क्षेत्र व्हेनेझुएलामध्ये सर्वात जास्त लोकांना रोजगार पुरवते."
"उताऱ्यानुसार, फ्यूजनमुळे तारे काय करण्यास सक्षम होतात?","या प्रश्नाचे योग्य उत्तर आहे **C: प्रकाश आणि उष्णता देणे**.

**स्पष्टीकरण:**

उतारात स्पष्टपणे नमूद केले आहे की हायड्रोजन अणू एकत्र येऊन जड मूलद्रव्ये तयार करतात, तेव्हा निर्माण झालेल्या ऊर्जेमुळे तारे प्रकाश आणि उष्णता उत्सर्जित करतात. त्यामुळे, फ्यूजनमुळे तारे प्रकाश आणि उष्णता देतात हे विधान बरोबर आहे.

इतर पर्याय चुकीचे आहेत कारण:
* **A: जड एलिमेंट्स तयार करणे:** तारे जड एलिमेंट्स तयार करतात, पण ते प्रकाश आणि उष्णता उत्सर्जित करण्याच्या प्रक्रियेचा भाग आहे.
* **B: फ्यूजन अणुभट्ट्या उभारणे:** शास्त्रज्ञ फ्यूजन अणुभट्ट्या उभारण्याचा प्रयत्न करत आहेत, पण तारे ते कसे करतात हे विचारले आहे.
* **D: हायड्रोजन अणूची निर्मिती:** तारे हायड्रोजन अणू तयार करत नाहीत, तर ते एकत्र आणून हेलियमसारखी जड मूलद्रव्ये तयार करतात."
एक उपयोगी फ्यूजन अणुभट्ट्या खालीलपैकी काय निर्माण करेल?,"या प्रश्नाचं योग्य उत्तर आहे **D: ऊर्जा**.

**स्पष्टीकरण:**

परिच्छेदामध्ये स्पष्टपणे सांगितलं आहे की हायड्रोजनचे अणू एकत्र येऊन जड मूलद्रव्ये तयार करतात, तेव्हा ऊर्जा निर्माण होते. अणुभट्टीचा उद्देश याच पद्धतीने ऊर्जा निर्माण करणे आहे. त्यामुळे, उपयोगी फ्यूजन अणुभट्टी ऊर्जा निर्माण करेल.

इतर पर्याय योग्य नाहीत कारण:

* **A: हायड्रोजन:** हायड्रोजन हे इंधन आहे, ऊर्जा निर्माण करणारे अंतिम उत्पादन नाही.
* **B: तारे:** तारे हे नैसर्गिकरित्या फ्यूजनमुळे प्रकाश आणि उष्णता निर्माण करतात, पण अणुभट्टी हे कृत्रिम उपकरण आहे.
* **C: अणू:** अणुभट्टीमध्ये अणूंचा वापर होतो, पण अंतिम उत्पादन ऊर्जा असते."
पाण्याची रासायनिक रचना काय आहे?,"या प्रश्नाचे योग्य उत्तर आहे **D: दोन हायड्रोजन अणू आणि एक ऑक्सिजन अणू**.

पार्श्वभूमी माहितीमध्ये स्पष्टपणे सांगितले आहे की पाण्याचा रेणू 2 हायड्रोजन अणू आणि 1 ऑक्सिजन अणू यांनी बनलेला असतो. त्यामुळे, पर्याय D हा योग्य आहे.
"
"जेव्हा पाण्याचे स्वरूप बदलते, तेव्हा काय कायम राहते?","या प्रश्नाचे योग्य उत्तर आहे: **A: आण्विक रचना**

**स्पष्टीकरण:**

प्रश्नात दिलेल्या माहितीनुसार, पाणी वायू, द्रव किंवा घन स्वरूपात असले तरी त्याची आण्विक रचना (2 हायड्रोजन अणू आणि 1 ऑक्सिजन अणू) समान राहते. केवळ त्याची भौतिक अवस्था (भौतिक गुणधर्म) बदलते. त्यामुळे, पाण्याचे स्वरूप बदलले तरी त्याची आण्विक रचना कायम राहते.

इतर पर्याय का बरोबर नाहीत:
* **B: घनता:** पाण्याचे घनता (density) त्याच्या स्वरूपावर अवलंबून असते. उदाहरणार्थ, पाण्याचे घन स्वरूपात (बर्फ) कमी घनता असते, तर द्रव स्वरूपात जास्त.
* **C: भौतिक अवस्था:** प्रश्नच विचारतो की स्वरूप बदलले म्हणजे काय कायम राहते, त्यामुळे भौतिक अवस्था योग्य उत्तर असू शकत नाही.
* **D: द्रव नायट्रोजन:** द्रव नायट्रोजन हे फक्त एक उदाहरण आहे, आणि पाण्याचे स्वरूप बदलताना द्रव नायट्रोजनसारखे गुणधर्म कायम राहत नाहीत.
"
"उताऱ्यानुसार, काही कायदे लागू करण्याचा प्रयत्न करताना तेरा राज्यांना पुढीलपैकी कोणती समस्या नव्हती?","या परिच्छेदानुसार, तेरा राज्यांनी बनवलेल्या मध्यवर्ती सरकारला अनेक समस्या होत्या. त्या समस्या खालीलप्रमाणे:

* **राज्य यंत्रणेकडून अतिशय दिरंगाई:** राज्य सरकारे कायद्यांची अंमलबजावणी करण्यास टाळाटाळ करत होती.
* **काँग्रेसमध्ये सत्तेचा अभाव:** काँग्रेस हा सरकारचा महत्वाचा भाग असूनही, त्याच्याकडे कर लागू करण्याचा अधिकार नव्हता.
* **सर्वानुमते मंजुरी आवश्यक असलेल्या सुधारणा:** कायद्यांमध्ये बदल करण्यासाठी सर्व राज्यांची एकमताने सहमती आवश्यक होती, ज्यामुळे प्रक्रिया किचकट बनली होती.
* **राष्ट्रीय कार्यकारिणीचा अभाव:** सरकारकडे मजबूत राष्ट्रीय कार्यकारिणी नसल्यामुळे निर्णय घेणे आणि अंमलबजावणी करणे कठीण होते.

यापैकी, 'काही कायदे लागू करण्याचा प्रयत्न करताना राज्य यंत्रणेकडून अतिशय दिरंगाई' ही समस्या नव्हती, कारण राज्य यंत्रणा कायद्यांची अंमलबजावणी करण्यास टाळाटाळ करत होती, म्हणजेच दिरंगाई करत होती. त्यामुळे, योग्य उत्तर आहे:

**A: राज्य यंत्रणेकडून अतिशय दिरंगाई**"
"उताऱ्यातील संदर्भानुसार, कोणते विधान क्रांतिकारी युद्धादरम्यान केंद्र सरकारच्या अवस्थेचे अचूकपणे वर्णन करते?","या प्रश्नाचं योग्य उत्तर **B: कलमांमध्ये सुधारणा करणे कॉंग्रेसच्या सामर्थ्यावर अवलंबून होते** आहे.

**स्पष्टीकरण:**

* परिच्छेदात स्पष्टपणे सांगितले आहे की, केंद्र सरकार (कॉंग्रेस) ला कर लागू करण्याचा अधिकार नव्हता.
* संघराजनाच्या कलमानुसार, कोणत्याही कायद्यात बदल करण्यासाठी सर्व राज्यांची एकमताने सहमती आवश्यक होती.
* राज्य सरकारे केंद्र सरकारला गांभीर्याने घेत नव्हती आणि त्यांचे प्रतिनिधी अनेकदा अनुपस्थित असत.
यावरून हे स्पष्ट होते की, केंद्र सरकारला (कॉंग्रेस) कोणताही मोठा अधिकार नव्हता आणि त्यांच्यासाठी कलमांमध्ये सुधारणा करणे हे राज्य सरकारांच्या सहकार्यावर अवलंबून होते.

इतर पर्याय योग्य नाहीत कारण:
* **A:** कॉंग्रेस आणि राज्य प्रशासनाने कर लावला नव्हता, उलट कॉंग्रेसला कर लावण्याचा अधिकार नव्हता.
* **C:** राज्यांचे प्रतिनिधी केंद्र सरकारमध्ये उपस्थित असत, पण त्यांचे सहकार्य मिळत नव्हते.
* **D:** केंद्र शासनाचे दोन मुख्य घटक नव्हते, तर ते कमजोर होते."
स्वातंत्र्याच्या जाहीरनाम्याच्या मागे असलेले शब्द कसे लिहिले आहेत?,"या प्रश्नाचे योग्य उत्तर आहे: **C: उलटे (In reverse)**

मजकुरात स्पष्टपणे नमूद केले आहे की, """"""हे कोणी लिहिले आहे कोणालाही माहिती नाही, मात्र हे माहिती आहे की त्याच्या सुरुवातीच्या आयुष्यात, मोठे चर्मपत्र दस्तऐवज (२९ ३/४ इंच ते २४ १/२ इंच आकाराचे) साठवणीसाठी आणले होते. तर, हे असू शकते की हे नोटेशन फक्त एक लेबल म्हणून लावलेलं असावे."" म्हणून, हे शब्द उलटे लिहिले आहेत.
"
सिंगापूर खालीलपैकी कशासाठी प्रसिद्ध आहे?,"या प्रश्नाचं योग्य उत्तर आहे **A: शहरी हिरवळ (Urban Greenery)**.

**स्पष्टीकरण:**

परिच्छेदामध्ये सिंगापूरला 'गार्डन सिटी' म्हणून संबोधले आहे आणि बोटॅनिकल गार्डनच्या तज्ञांनी बेटाला उष्णकटिबंधीय गार्डन सिटीमध्ये रूपांतरित करण्यात मदत केली, असं स्पष्टपणे नमूद केलं आहे. यावरून सिंगापूर त्याच्या शहरी हिरवळीसाठी प्रसिद्ध आहे, हे दिसून येतं.

इतर पर्याय समर्पक नाहीत:
* **गिर्यारोहण (Mountaineering):** सिंगापूरमध्ये गिर्यारोहणासाठी योग्य वातावरण नाही.
* **साहसी क्रीडाप्रकार (Adventure Sports):** साहसी क्रीडा प्रकारांसाठी सिंगापूर प्रसिद्ध नाही.
* **ललित कला (Fine Arts):** सिंगापूरमध्ये ललित कला प्रकार असले तरी, तेथील मुख्य ओळख 'गार्डन सिटी' अशी आहे.
"
