question,gemma3_reply
"Мувофиқи порчаи матн, барои бомуваффақият навохтани аккордеон чӣ маслиҳати хуб ҳисобида намешавад?","The correct answer is **A: Барои садои баландтар, қувваро барои пахши клавиатура зиёд кунед (For a louder sound, increase the power for playing the keyboard).**

The text explicitly states that there's no need to ""пахш кардани клавиатура бо қувваи бисёр барои садои баландтар, ба мисли дар фортопиано"" (play the keyboard with a lot of power for a louder sound, like in a piano).  It emphasizes using speed or pressure for volume, not brute force. Options B, C, and D all align with the advice given in the text.
"
Кадоме аз инҳо ба баланд бардоштани садо ҳангоми навохтани аккордеон кӯмак мекунад?,"The correct answer is **A: Суръати баландтар (Higher speed)**.

The passage explicitly states: ""Дар асбоби мусиқии аккордеон, барои ба даст овардани ҳаҷми иловагӣ, шумо асбобро бо фишор ё **суръати баландтар** истифода мебаرید.""  (In the musical instrument accordion, to obtain additional volume, you use the instrument with higher pressure or **higher speed**.)

Let's look at why the other options are incorrect:

* **B: Қувваи бисёр (Much force):** The passage explicitly discourages using a lot of force, comparing it negatively to playing a piano.
* **C: Фишори камтар (Less pressure):** While the passage mentions pressure, it connects *higher* pressure or *higher speed* to increased volume.  Lower pressure wouldn't increase volume.
* **D: Ҳаракати камтари ангуштон (Less finger movement):**  The passage advises against unnecessary finger movement.
"
Чаро расмҳо дар телевизион ҳошияҳои буридашуда доранд?,"The correct answer is **B: Барои бо расм пӯшондани тамоми экран** (To cover the entire screen with the image).

The passage explicitly states this reason: ""Аз ин лиҳоз, ҳар он чизеро, ки шумо дар телевизион мебинед, ҳошияҳои аз канорҳо, боло, поён ва паҳлӯҳо буридашуда доранд. Ин барои он карда шудааст ки расм тамоми экранро пӯшонад."" (Therefore, everything you see on television has margins cut off from the sides, top, bottom, and sides. This is done so that the image covers the entire screen.)

Let's look at why the other options are incorrect:

* **A: Барои ҷойгир шудани субтитрҳо** (To place subtitles): While subtitles are *related* to the margins, they aren't the *primary* reason for the cropping.
* **C: Барои табдили содда ба дигар форматҳо** (To easily convert to other formats):  Cropping for different formats is a consequence, not the reason for the initial cropping on television.
* **D: Барои буридани субтитрҳои ба қисмати поён наздик** (To cut off subtitles close to the bottom): This is the opposite of what happens. The cropping *prevents* subtitles close to the bottom from being fully visible.



"
"Тибқи порчаи матн, ҳангоми табдил додани филм ба формати DVD ба кадоме аз мушкилоти зерин дучор шудан мумкин аст?","The correct answer is **B: Қисман бурида шудани субтитрҳо** and **D: Ҳошияҳои буридашуда**.

Here's why:

*   The text explicitly states that ""агар дар видео субтитрҳои ба қисмати поёни он наздик дошта бошад, онҳо пурра нишон дода намешаванд"" (if the video has subtitles near the end, they won't be shown completely). This directly relates to subtitles being partially cut off.
*   The text describes overscanning as ""марзҳои формати он низ бурида мешавад"" (the format borders are also cut off). This means that the margins (borders) of the image get cropped.

Option A (""Расм дар тамоми экран ҷойгир намешавад"" - The image doesn't occupy the whole screen) is a consequence of overscanning, so it's related, but not as direct as B and D.
Option C (""Расм, ки тамоми экранро мепӯшонад"" - The image that covers the whole screen) is the opposite of overscanning, so it's incorrect.

Therefore, both B and D are accurate reflections of the issues mentioned in the text."
Гарнизони Бритониё дар куҷо ҷойгир буд?,"The correct answer is **A: Ассунпинк Крик**.

The text states: ""Генерал Ҷеймс Евинг метавонист 700 сарбозро аз болои дарёи Трентон Ферри гузаронад, пули Ассунпинк Крикро забт намояд..."" (General James Ewing could have crossed 700 soldiers across the Trenton Ferry, capture Assunpink Creek...) This indicates that the British garrison was located at Assunpink Creek.
"
Имзои кӣ дар лоиҳаи хаттӣ буд?,"The correct answer is **D: Чарлз Томсон**.

The passage states: ""лоиҳаи хаттии аз тарафи президенти Конгресс Ҷон Ҳанкок **ва Котиб Чарлз Томсон** ба имзо расида..."" (the draft of the resolution was signed by the President of the Congress John Hancock **and Secretary Charles Thomson**...)
"
Dunlap broadsides аз ҷойҳои зерин ба куҷо охирон расид?,"The correct answer is **C: Лондон**.

The text states: ""Нусхаи он рӯзи 10 август ба Лондон дастрас гардид."" (A copy of it reached London on August 10th.)
"
Сарбозони полковник Старк дар куҷо ҷойгир буданд?,"The correct answer is **A: Дар охири шимол, дар канори девор (At the northern end, along the wall)**.

The text states: ""Тарафдорони Старк дар канори девор дар охири шимоли мавқеи Колонист мавқеъ гирифтанд."" (Stark's supporters took position along the wall at the northern end of the Colonist position.)
"
"Тибқи порчаи матн, тарафдорони Старк кай девори худро паҳн карданд?","The correct answer is **C: Ҳангоми кушодани фосилаи ҷазр**

The text states: ""Вақте ки дар соҳили дарёи Мистик дар шимолу шарқи нимҷазира ҷазр фосилае кушод, онҳо ба самти шимол зуд девори сангини кӯтоҳе бардошта, он деворро то ҳошияи оби соҳили хурд бурданд."" This directly links the widening of the wall to the opening of the gap in the defenses.
"
"Тибқи порчаи матн, кадоме аз давраҳои зерин яке аз бераҳмтарин дар Чин буд?","The correct answer is **D: Давраи “Се Салтанат” (Three Kingdoms Period)**.

The text explicitly states: ""Дар таърихи Чини Қадим Се Шоҳигарӣ яке аз ҳама хуншортарин давра буданд..."" which translates to ""In the history of Ancient China, the Three Kingdoms Period was one of the most brutal periods...""

While the other options are mentioned as dynasties in Ancient China, the text directly identifies the Three Kingdoms Period as the most brutal.
"
