question,gemma3_reply
"Bisa ga abin da sharhin ya faɗa, mene ne ba za a yi la'akari da shi a zaman cikakken bayani na nasarar buga accordion ba?","The correct answer is **B: Ci gaba da motsawa mara manufa har maƙanƙancin don kiyaye ƙarfinku** (Continue with aimless movements even small ones to maintain your strength).

Here's why:

* **The text specifically advises *against* aimless movement.** It states ""Tabbata cewa hannunku suna a sake yayin da kake bugun kiɗa daidai - kuma yi ƙoƙarin kada kuyi motsin ɗage da yatsunku."" (Make sure your hands are relaxed while playing and try not to lift your arms unnecessarily.)  Continuous, aimless movement would defeat this purpose.

Let's look at why the other options are incorrect:

* **A: Don ƙarin ƙara, ƙara ƙarfin da kake buga maɓallan** (To add more, increase the force you apply to the keys) - The text says you don't need to *force* the keys like on a piano.  This is generally true for accordion playing.
* **C: Yi la'akari da buga bayanan kula yayin kiyaye hannu mai hutawa** (Pay attention to the bass notes while keeping your hands relaxed) -  The text *does* encourage relaxed hands. This option aligns with that advice.
* **D: Ƙara saurin da kuke aiki da jakunkunan iskan don samun ƙarin ƙara** (Increase the speed at which you operate the bellows to get more sound) - The text mentions using bellows speed/force to get more sound. This option is consistent with that idea.



Therefore, option B is the only one that contradicts the information provided in the text."
"Lokacin buga accordion, wanne daga cikin waɗannan na biye ne zai taimaka wajen ƙara ƙarar?","The correct answer is **B: ƙarin karfi (more force)**.

Here's why:

The passage explicitly states: ""a accordion, domin samun karin yawa, ka yi amfani da mabushi da ƙarfi ko sauri."" This translates to ""on an accordion, to get more volume, you use pressure and force or speed.""  Therefore, increasing force is a direct way to increase the volume (loudness) produced.

Let's look at why the other options are incorrect:

* **A: ƙarin saurin gudu (more speed):** While speed *can* contribute to volume, the passage emphasizes *force* alongside speed.
* **C: Ragin matsa (Pressure range):** The passage doesn't directly address pressure range as a method for increasing volume.
* **D: Ragin motsin yatsa (Range of limb movement):** The passage specifically advises *against* excessive limb movement to achieve accuracy."
Me ya sa iyakokin hotunan a talabijin suka a yanke?,"The correct answer is **B: Don haka hoton ya cika duka allon (To make the image fill the entire screen)**.

The passage explicitly states that overscan is done to ensure the image covers the entire screen, making it more visually appealing to the average viewer. Therefore, the reason for the cropping is to fill the screen.
"
"Bisa ga abin da sharhin ya faɗa, wanne ne daga cikin waɗannan matsalolin na biye mutum zai iya fuskanta yayin canza fim zuwa tsarin DVD?","The correct answer is **B: Rubutattun maganganu da aka yanke rabi**.

Here's why:

* The text explains that overscan (the cropping of edges on TVs) can cause text near the edges of the screen to be cut off when a DVD is created. 
* Option B directly addresses this scenario – text being cropped/cut off.

Let's look at why the other options are incorrect:

* **A: Hoton da bai cika duka allon ba:** Overscan *causes* the image to *appear* not to fill the screen on a TV, but when transferred to DVD, the problem is the cropping, not lack of image.
* **C: Hoton da ya cika duka allon ba:** This is the opposite of the problem described.
* **D: Yanka iyakoki:**  This describes the *effect* of overscan, but option B is more specific and accurately reflects the problem described in the text about text.



"
A ina aka sami wata runduna ta Birtaniya?,"The correct answer is **C: Bordentown**.

The passage states: ""Janar John Cadwalder zai kaddamar da harin wuce gona da iri kan rundunar sojojin Burtaniya a **Bordentown**, don toshe duk wani karfafawa.""
"
Sa hannun waye ya bayyana akan daftarin da aka rubuta da hannu?,"The correct answer is **D: Charles Thomson**.

The passage states: ""sa'an nan aka aika wani daftarin da aka rubuta da hannu wanda Shugaban Majalisar John Hancock ya sa hannu da ɗan nesa zuwa ga shagon buga rubutu na John Dunlap."" This means John Hancock signed the handwritten list, not John Dunlap.  The question asks who signed *the list*, and the text explicitly states John Hancock signed it. However, the options don't include John Hancock.  It's likely there's an error in the provided answer choices, but based on the provided text, the closest and most logical answer among the choices *given* is **D: Charles Thomson**. Charles Thomson was the Secretary of the Continental Congress at the time and would have been involved in the creation and distribution of official documents like this list.

Therefore, considering the choices and the information provided, **D** is the best available answer, although not directly stated in the text.
"
Daga cikin waɗannan wurare ina ne harin Dunlap ya isa a ƙarshe?,"The correct answer is **C: London**.

The passage states: ""Wani kwafi ya isa Landan a ranar 10 ga watan Agusta."" (A copy arrived in London on August 10th.)
"
A ina ne sojojin Colonel Stark suke?,"The correct answer is **A: A ƙurewar arewa, ta shingen**.

The text states: ""Mutanen Stark suka ja daga a jikin shingen ta karshen arewacin inda Colonist suka tsaya."" This translates to ""Stark's men drew from the end of the northern shore where the Colonists were stationed.""  This means they were positioned on the northern shore, along the shoreline.
"
"Bisa ga abin da sharhin ya faɗa, yaushe ne mutanen Stark suka tsawaita shingensu?","The correct answer is **A: Yayin da Colonists suka yi kira don karfafawa**.

The passage states: ""sun nemi karin taimako"" (they sought more help) and then immediately follows with the description of the entrenchment. This implies they extended their position *because* they needed more support, which is the same as seeking reinforcements.
"
"Bisa ga abin da sharhin ya faɗa, wanne ne daga cikin waɗannan ya ƙasance ɗaya daga cikin lokuta mafi yawan tashin hankali na ƙasar Sin?","The correct answer is **D: Zamanin Masarauta Uku**.

The passage explicitly states: ""Masarauta Uku ya kasance daya daga cikin zamunan da aka fi zub da jini a tarihin Tsohuwar China...dubban mutane sun mutu suna gwagwarmaya don zama a kan madaukakiyar kujera a babbar fada a Xi’an.""  This directly links the Three Kingdoms period to a time of extreme conflict and bloodshed.

While the other options are periods in Chinese history, the passage focuses specifically on the Three Kingdoms period as a time of significant instability and warfare.
"
"Bisa ga abin da sharhin ya faɗa, mene ne gaskiyar game da taron sojojin tururuwa da ke shiga yanayi na makiyaya?","The correct answer is **B: Suna da ƙarancin wadatar abinci**.

The passage states: ""Mulkin mallaka ya fara matakin makiyaya lokacin da wadatar abinci ya ragu."" This translates to ""The colony enters the raiding stage when food supplies decrease."" Therefore, the raiding activity is triggered by low food supplies.

Let's look at why the other options are incorrect:

*   **A: Suna yin sheƙa a cikin dare:** The passage mentions they rest at night, but doesn't specify where they raid.
*   **C: Suna yin sheƙa da ake canza bayan kwanaki 17:** The passage mentions raids take 17 days, but doesn't say they change *after* 17 days.
*   **D: Suna tafiya da rana:** The passage says they rest during the day and raid at night.



"
"Bisa ga abin da sharhin ya faɗa, wace magana ce ta yi daidai da ɗabi’ar tsugunar da sojojin tururuwa a yanayi na makiyaya?","The correct answer is **C: Suna canza sheƙa a kullum**.

Here's why:

* The passage states that during the raiding phase (""matakin makiyaya""), the soldiers build temporary shelters (""gidajan wucin gadi"") that are changed daily (""canza su yau da kullum"").
* This directly supports the idea that they change shelters frequently, implying they change their camping locations.

Let's look at why the other options are incorrect:

* **A: Suna gina sheƙa a cikin dare:** The passage says they build temporary shelters *during* the raiding phase, not specifically at night.
* **B: Sun yi tafiya na tsawon kwanaki 17 ba tare da yin sheƙa ba:** The passage states each raid/travel takes 17 days, but doesn't say they don't camp.
* **D: Suna amfani da sheƙa iri ɗaya iya tsawon lokacin:** The passage emphasizes the *daily* changing of shelters, indicating they don't use the same one for extended periods.



"
Wanne ne daga cikin waɗannan na biye zai ci gaba duk da ƙasancewar alamu na waje?,"The correct answer is **C: Hanga na halittu** (Metabolic activity).

Here's why:

* **The passage states:** ""Halittun jikin mutum sune suke ci gaba da wanzuwa a yayin da mutum ke gudu ko da ba tare da wasu abubuwa daga waje/gefe."" (The body's microorganisms continue to exist even when a person is moving without external factors/stimuli.)

* **Metabolic activity** refers to the chemical processes that occur within a living organism to maintain life. These processes *do not* rely on external stimuli; they are internal.  Microorganisms are part of this metabolic activity.

Let's look at why the other options are incorrect:

* **Zagaye daga waje (External stimulation):** This *requires* external factors, contradicting the passage's statement.
* **Kari na lokaci-lokaci (Sporadic activity):** While the passage mentions sporadic sounds, this isn't a general activity that continues regardless of external factors.
* **Kari da ake lurarwa (Controlled activity):**  The passage doesn't describe metabolic activity as ""controlled,"" it simply states it continues.



Therefore, the only option that aligns with the passage's description of the body's microorganisms continuing to function independently of external stimuli is metabolic activity."
Wace kalma ce ke bayyana daidaikun mutane waɗanda ke nuna ire-iren halayya na phenotypic?,"The correct answer is **D: Polymorphic**.

Here's why:

*   **Polymorphic** means having multiple forms or variations. The question states that when people within a population show several distinct forms of a particular phenotypic trait, they are considered polymorphic.

Let's look at why the other options are incorrect:

*   **Monomorphic** means having only one form or variation. This is the opposite of what the question describes.
*   **Halittu** (which translates to ""organisms"" or ""creatures"" in Hausa) is too general and doesn't describe the specific variation in traits.
*   **Nau'o'in Halittu** (which translates to ""types of organisms"") is also too general.

Therefore, **Polymorphic** is the only term that accurately describes individuals exhibiting multiple phenotypic variations."
Wanne daga cikin waɗannan na biye ne madaidaicin kalmar kwayoyin halitta waɗanda suka mamaye wani yanki?,"The correct answer is **C: Nau'o'in Halittu (Species)**.

Here's why:

* **Nau'o'in Halittu (Species)** refers to a group of organisms that can interbreed and produce fertile offspring. This directly aligns with the description in the prompt of a ""collection of the same kind of living creature in a secluded place.""

Let's look at why the other options are incorrect:

* **Monomorphic:** This describes a population where individuals are all the same in a particular characteristic. It doesn't define a species itself.
* **Yawan jama'a (Population):** This is simply a group of individuals of the same species living in the same area. It doesn't necessarily imply they are distinct or have specific characteristics.
* **Polymorphic:** This describes a population where individuals show multiple forms of a particular characteristic.  Again, it's a description of a population, not the species itself.



Therefore, the best answer that represents the complete definition in the question is **Nau'o'in Halittu**."
Wanne daga cikin waɗannan na biye ne ba zai zama misali na ayyukan yawon buɗe ido da ke da tushe na ayyukan halitta ba?,"The correct answer is **C: Ziyartar gidan kayan tarihi na kimiyya**.

Here's why:

* **Ecotourism** is defined as tourism focused on experiencing natural environments responsibly and contributing to conservation. The activities listed in the prompt (birdwatching, fishing, photography, wildlife viewing, nature education) all directly involve and benefit from natural ecosystems.

Let's break down the options:

* **A: Tafiya zuwa magudanar ruwa:**  Magudanar ruwa suna da mutuncin halitta kuma suna da kyau don kallon tsuntsaye da wasu mutane.
* **B: Daukar hoton furannin jeji:**  Directly involves observing and appreciating wildlife.
* **C: Ziyartar gidan kayan tarihi na kimiyya:**  While museums *can* sometimes have exhibits related to nature, their primary focus is on preserving and exhibiting *human* history and cultural artifacts.  It's not directly about experiencing and appreciating natural environments.
* **D: Ƙamun kifi da kuɗa:**  Can be done sustainably as part of ecotourism, but it is an activity directly related to interacting with wildlife and the ecosystem.

Therefore, visiting a science museum is the least aligned with the core principles of ecotourism, as it is focused on human history, not natural environments.



"
"Bisa ga abin da sharhin ya faɗa, wanne ne daga cikin waɗannan yake tushen tsarin sufuri?","The correct answer is **B: Motoci masu zaman kansu (Private cars)**.

Here's why:

* **The passage explicitly states:** ""tsarin sufuri ne wanda ya dogara da motocin daidaikun mutane."" (the transport system relies on private cars).
* **The passage details the negative impact of this system:**  it mentions the ""babban tattalin arzikin carbon"" (huge carbon economy) and its harm to the biosphere. This links the reliance on personal vehicles to environmental damage.

Let's look at why the other options are incorrect:

* **A: Wuraren aiki (Workplaces):** Workplaces are destinations, not part of the transport system itself.
* **C: Tsayayyen tsarin yanayi (Stable climate):** The passage states the transport system *damaged* the biosphere, implying it disrupted, not stabilized, the climate.
* **D: Juyin halittar mutum (Human ingenuity):** While human ingenuity created the cars, the passage focuses on the system *dependent on* those cars.



"
Burbusai da ke kewaya nukilus suna da wane irin caji?,"The correct answer is **C: Caji na negetib**.

The passage states: ""Electrons suna da cajin wutan lantarki mummuna."" (Electrons have a negative electrical charge.)
"
Nukilus ya ƙunshi wadanne burbusai?,"The correct answer is **A: Firotons da nutirons** (Protons and neutrons).

The passage explicitly states: ""Tsakiya kwayar halittar ta kunshi abubuwa guda biyu-yayan kwayoyin zarra mara cajin lantarki da mai caji karbar wuta. **Protons na dauke da cajin wutan lantarki mafi soyuwa yayin da ita Neutron bata dauke da wutan lantarki.** Electrons suna da cajin wutan lantarki mummuna.""

Therefore, the nucleus is made up of protons and neutrons.
"
"Bisa ga abin da sharhin ya faɗa, wanne ne daga cikin waɗannan misalai ne bainari mai lamba biyar?","The correct answer is **C: 10010**.

Here's why:

* **Binary numbers** only use 0 and 1.
* **1010** is a binary number, but it only has 4 digits.
* **12001** is not a binary number because it contains the digit 2 and 0.
* **110101** is a binary number with 6 digits.
* **10010** is a binary number with 5 digits, consisting only of 0s and 1s.
"
Hakanan ana kiran lambobi na bainari a matsayin me?,"The correct answer is **A: Bits**.

Here's why:

* **Bits** is the standard term for binary digits. The passage explicitly states that binary numbers are 0 or 1, and these are called binary digits or bits.

Let's look at why the other options are incorrect:

* **Darajoji (Levels)**: While a bit represents a level (0 or 1), the term ""bit"" is the specific name for that level.
* **Jargon**: Jargon is specialized language, and while ""binary"" is technical, ""bit"" is the core term.
* **Siffofin (Forms)**: This doesn't relate to the fundamental unit of binary data.



"
Wanne ne daga cikin waɗannan ba a ambata ba a sharhin a zaman ainihin fa'idar rubutun ra'ayin-kanka na ɗalibai a yanar gizo?,"The correct answer is **B: Ragi a suƙa daga takwarori (Bullying by peers)**.

Here's why:

The text highlights the following benefits of online opinion writing:

*   **Improved writing skills:** Online interaction encourages students to correct their spelling and grammar due to the presence of a wider audience.
*   **Increased engagement:** Meeting the needs and interests of their audience motivates students to be more creative and engaged.
*   **Collaboration and deeper research:** Online platforms facilitate collaboration and encourage students to conduct more in-depth research.
*   **Empowerment and critical thinking:** Students are empowered to delve deeper into topics and share their perspectives within a wider context.
*    **Greater interest in learning** Meeting the needs and interests of their audience motivates students to be more creative and engaged.

The text **does not** mention that online opinion writing helps students avoid bullying. The other options (Improved writing skills, Increased engagement, and Greater interest in learning) are all explicitly mentioned as benefits.
"
Wanne ne daga cikin waɗannan da ke biyo baya na rubutun ra'ayin-kai a yanar gizo aka ambata a matsayin mai ƙarfafa ɗalibai don inganta ƙwarewar rubutun su?,"The correct answer is **C: Kula da buƙatar masu sauraron su**.

Here's why:

The text states: ""Bukatar biyan bukatun masu sauraronsu yana saka daliban kaimin zama masu wayo da kuma sha’awarsu (Toto, 2004)."" This directly links meeting the needs of the audience to encouraging students to be engaged and interested, which is a key factor in improving their writing skills.

Let's look at why the other options are less accurate:

* **A: Yawan martani ga abubuwa akan intanet:** While interaction is mentioned, the text doesn't specifically highlight *the need to meet the audience's needs* as a driver for improved writing.
* **B: Sha’awar guje wa suƙa:** Avoiding typos is a helpful skill, but it's not presented as a primary reason for writing improvement in the context of online expression.
* **D: Buƙatar haɗin gwiwa:** Collaboration is mentioned as a benefit of online writing, but it's not the direct reason for improving individual writing skills.



"
Wanne ne daga cikin waɗannan ba fa’idar sadarwar asynchronous ga ɗalibai ba? ,"The correct answer is **B: Saduwan fuska-da-fuska da malamai a kowane lokaci na rana.**

Here's why:

* The passage specifically states that asynchronous communication *reduces* face-to-face interaction and allows for responses outside of traditional meeting times.  It highlights the ability to ask questions and receive responses *without* waiting for a scheduled meeting.

Let's look at why the other options are incorrect:

* **A: Amfani da intanet a matsayin albarkatu:** The passage *does* mention the use of the internet as a resource for learning materials.
* **C: Sassauƙan sa'o'in aiki:**  The passage explicitly states that asynchronous communication offers flexible work schedules.
* **D: Sarrafa rata:**  This is not mentioned in the provided text. The focus is on communication and accessibility, not workload management.



Therefore, the only option that directly contradicts the information given in the passage is B."
"Bisa ga abin da sharhin ya faɗa, wanne ne daga cikin waɗannan abubuwan sadarwar asynchronous ba shi da sauƙi ga ɗalibai?","The correct answer is **C: Kayan koyarwa (Learning materials)**.

Here's why:

The passage explicitly states that asynchronous communication *gives students the opportunity to work at their own pace and within the constraints of learning materials and information*. This means the learning materials themselves are *not* necessarily made easier by asynchronous communication; rather, the communication allows students to manage their interaction *with* those materials at their own speed.

Let's look at why the other options are incorrect:

*   **A: Ratan koyo (Learning materials):** The passage says asynchronous communication allows students to work within the *constraints* of learning materials.
*   **B: Lokacin aiki (Time for work):** The passage mentions *flexible time schedules* as a benefit.
*   **D: Amfani da Intanet (Use of the Internet):** The passage highlights that using the internet allows students to access information anytime.



Therefore, the only option that's *not* necessarily made easier by asynchronous communication, according to the text, is the learning materials themselves.



"
mene ne ba a ambata a cikin sharhin a matsayin wani abu da mutum zai iya dangantawa da gidajen sarauta na tsakiyar zamanai?,"The correct answer is **A: Ramukan kurkuku (Pits)**.

Here's why:

The first part of the question focuses on how historical experiences, particularly those associated with the Arthurian legends, shape our imagination and memory.  It touches on the power of sensory details to evoke a sense of the past.  It then asks about the reasons behind building castles.

The second part asks what *wasn't* mentioned in the passage as something people would relate to medieval castles. The passage mentions things like:

*   **Jousts:** A key activity associated with medieval castles and chivalry.
*   **Chivalry:** A code of conduct central to the culture surrounding castles.
*   **Heroes (Jarumai):** Arthurian legends are full of heroic figures, which would be associated with castles.

The question is trying to trick you by listing things strongly linked to castles.  **Pits (ramukan kurkuku)** are historically associated with torture and imprisonment, and while they *might* have been present in some castles, they aren't a central or commonly associated aspect of the *experience* or *reputation* of castles in the same way that jousts, chivalry, and heroes are. They're a darker, less frequently emphasized aspect.



"
