question,gemma3_reply
"ඡේදයට අනුව, එකෝඩියනයක් සාර්ථකව වාදනය කිරීමේ නිවැරදි උපදෙසක් ලෙස නොසැලකෙන්නේ කුමක්ද?","정답은 **A: 아미터 파리마 상신을 손가락에 가중치를 더합니다.**

텍스트에 따르면 에코디안을 성공적으로 연주하는 올바른 지침은 악보에서 손가락에 가중치를 더하지 않는 것입니다. 대신 텍스트는 추가 볼륨을 얻기 위해  louder 또는 더 빠른 마이너를 사용해야 한다고 명시합니다."
එකෝඩියනයක් වාදනය කිරීමේදී පරිමාව වැඩි කරගැනීමට උපකාර වන්නේ පහත සඳහන් ඒවායින් කුමක්ද?,"Correct answer is **C: අව පීඩනය (Reduced pressure)**.

Here's why:

* **The passage states:** ""...In the accordion, to obtain extra volume, you use more pressure or speed with the bellows.""  ""Reduced pressure"" is the opposite of increased pressure, and the passage explicitly says *more* pressure increases volume.  Therefore, *less* pressure (reduced pressure) would be the opposite action.

Let's look at why the other options are incorrect:

* **A: වැඩි වේගය (Increased speed):** The passage says *either* more pressure *or* more speed will increase volume.  It doesn't say increased speed alone.
* **B: වැඩි බලය (Increased force):** The passage explicitly warns against using extra force on the keys.
* **D: අඩු ඇඟිලි හැසිරවීම (Less finger dexterity):**  Good finger dexterity is necessary for playing, not less of it.

Therefore, the most accurate answer based on the provided text is **C: අව පීඩනය (Reduced pressure)**.
"
රූපාවාහිනියේ රූපවල පැති මායිම් කප්පාදු කර ඇත්තේ ඇයි?,"Correct answer is **B: එවිට රූපය සම්පූර්ණ තිරය ආවරණය කරයි**

Here's why:

* **Overscan** is the term for the slight cropping of the edges of a video image to fill the entire screen. This is done to ensure the picture reaches all corners of the TV screen. 

Let's look at why the other options are incorrect:

* **A: උපසිරැසිවලට ඉඩ දීම සඳහා (To make space for subtitles):** While the position of subtitles can be affected by overscan, it's not the primary reason for the overscan itself.
* **C: වෙනත් ආකෘතිවලට සරල ලෙස පරිවර්තනය කිරීමට ඉඩ දීම සඳහා (To allow for easy conversion to other formats):** OverScan is not for easy conversion to other formats. It's to ensure full screen coverage.
* **D: උපසිරැසි පහත මායිමට බෙහෙවින් ආසන්නව කප්පාදු කිරීමට (To crop subtitles very close to the bottom margin):** This is the *result* of overscan affecting subtitles, not the reason for overscan.

Therefore, the best explanation is that TV's crop the edges of the image (overscan) to fill the whole screen.
"
"ඡේදයට අනුව, චිත්‍රපටියක් ඩීවීඩී ආකෘතියට පරිවර්තනය කරන විට පුද්ගලයෙකුට මුහුණ දීමට සිදු විය හැක්කේ පහත ප්‍රශ්නවලින් කවරකටද?","The correct answer is **B: අර්ධ ලෙස කප්පාදු කළ උපසිරැසි (Partially cropped subtitles)**.

Here's why:

* **The passage explains that overscan (cropping the top, bottom, and sides of the image) is common in television broadcasting.** This is done to fill the entire screen.
* **The passage states that when converting a movie to DVD, the video itself is often cropped, but the subtitles can be affected.** Specifically, if subtitles are near the bottom of the screen, they may be cut off and become unreadable.

Let's look at why the other options are incorrect:

* **A: සම්පූර්ණයෙන් තිරය ආවරණය නොකරන රූපයක් (An image that doesn't cover the entire screen):** This is *not* the problem. Overscan *does* cover the entire screen, but it can negatively impact subtitles.
* **C: සම්පූර්ණයෙන් තිරය ආවරණය කරන රූපයක් (An image that covers the entire screen):** This describes the *result* of overscan, but not the *problem* related to subtitles.
* **D: කප්පාදු කළ මායිම් (Cropped margins):** While margins are cropped, the passage focuses on how this cropping affects the *subtitles* specifically.



"
බ්‍රිතාන්‍ය හමුදා බලකොටුවක් පිහිටා තිබුණේ කොහේද?,"C: බෝර්ඩන්ටව්න්

ප්‍රශ්නයේ සඳහන් වන්නේ ජෙනෙරල් ජෝන් කැඩ්වෝල්ඩර් බෝර්ඩන්ටවුන්හි බ්‍රිතාන්‍ය හමුදා බලකොටුවට එරෙහිව හැරවුම් ප්‍රහාරයක් දියත් කරනු ඇතැයි. Därför är svaret C rätt."
අත්පිටපත් කෙටුම්පතේ තිබුණේ කාගේ අත්සනද?,"The correct answer is **D: චාල්ස් තොම්ප්සන්**.

The passage states: ""කොංග්‍රසයේ සභාපති ජෝන් හැන්කොක් සහ ලේකම් චාල්ස් තොම්ප්සන් විසින් අත්සන් තබන ලද කෙටුම්පතක්..."" which translates to ""a manuscript signed by Congress Speaker John Hancock and Clerk Charles Thompson...""
"
ඩන්ලැප් බ්‍රෝඩ්සයිඩ් පිටපත් අවසන් වරට පැමිණියේ පහත කවර ස්ථානයටද?,"The correct answer is **C: ලන්ඩන්**.

The text states: ""අගෝස්තු 10 වනදා එක් පිටපතක් ලන්ඩනය වෙත ලැබිණි."" which translates to ""On August 10th, one copy arrived in London.""
"
කර්නල් ස්ටාර්ක්ගේ සෙබළු සිටියේ කොහේද?,"The correct answer is **A: උතුරු කෙළවර, මායිම දිගේ (Northern end, along the border)**.

The passage states: ""ස්ටාර්ක්ගේ මිනිසුන් යටත් ජනපදවැසියන්ගේ ස්ථානයේ උතුරු කෙළවරේ මායිම දිගේ ස්ථානගත විය."" which translates to ""Stark's men were positioned on the northern end of the settlements' location, along the border.""
"
ඡේදයට අනුව ස්ටාක්ගේ මිනිසුන් ඔවුන්ගේ මායිම් දිගු කළේ කිනම් විටද?,"පරිච්ඡේදය අනුව, නිවැරදි පිළිතුර **C: බාදිය පැවති කාලයේ** ය.

පරිච්ඡේදයේ සඳහන් වන්නේ ""බාදිය මගින් අර්ධද්වීපයේ ඊසාන දෙසින් මිස්ටික් ගඟ දිගේ හිඩැසක් විවෘත කළ විට"" ඔවුන් මායිම් දිගු කළ බවයි."
"ඡේදයට අනුව, චීනයේ දරුණුතම යුගයක් වූයේ පහත කිනම් යුගයද?","Correct answer: **D: රාජධානි තුනේ යුගය**

**Explanation:**

The passage explicitly states: "" රාජධානි ත්‍රිත්වය, පුරාතන චීනයේ වැඩියෙන්ම ලේ තැවරුණු යුගයක් වූ අතර..."" (The Three Kingdoms period was the bloodiest era in ancient China...).

While the Han and Jin dynasties were involved in conflicts, the ""Three Kingdoms period"" is specifically identified as the bloodiest era. Therefore, option D is the correct answer.
"
"ඡේදයට අනුව, සංචාරක අවධියට ඇතුල් වන හමුදා කුහුඹු කොලනිය සම්බන්ධව සත්‍ය වන්නේ කුමක් ද?","Correct answer is **B: ඔවුන්ට ඇත්තේ අඩු ආහාර සැපයුමකි**

Here's why:

* **The text states:** ""පවතින ආහාර අඩු වූ විට කොලනිය සංචාරක අවධියක් ආරම්භ කරයි"" which translates to ""When existing food is low, they start a colonial phase.""

Let's look at why the other options are incorrect:

* **A: ඔවුන් කූඩු සාදන්නේ රාත්‍රී කාලයේදීය (They build nests at night):** The text says they travel at night during the exploratory phase and stop for daytime camping. It doesn't specify when they build the nests during the colonial phase.
* **C: ඔවුහු දින 17 කට පසු වෙනස් වන කූඩු සාදති (They build nests that change after 17 days):** The text says each ""religious turmoil or expedition"" lasts approximately 17 days, not that the nests change after 17 days.
* **D: ඔවුහු දිවා කාලයේදී ගමන් කරති (They travel during the day):** The text explicitly states they travel at night during the exploratory phase.



"
