question,gemma3_reply
Kaj glede na odlomek ne velja za pravilen nasvet za uspešno igranje harmonike?,"The correct answer is **A: Za večjo glasnost močneje pritiskajte na tipke (For greater volume, press the keys harder)**.

The passage explicitly states: ""Ne pozabite, da z močnejšim pritiskanjem tipk ne boste dosegli tudi večje glasnosti, kot na primer pri klavirju."" (Don't forget that pressing the keys harder won't achieve a greater volume than on a piano.)

The other options are all consistent with the advice given in the passage.
"
Kaj od naslednjega pomaga povečati glasnost pri igranju harmonike?,"The correct answer is **A: Večja hitrost**.

The text explicitly states: ""Za večjo glasnost harmonike je treba povečati pritisk na meh ali **hitrost**."" (For greater volume on the harmonica, you need to increase the pressure on the reeds or **speed**.)

The other options are incorrect because:

*   **B: Večji pritisk:** The text says that applying more pressure *doesn't* increase volume on a harmonica like it does on a piano.
*   **C: Manjši pritisk:**  Less pressure would decrease volume.
*   **D: Manj gibov s prsti:** While reducing unnecessary finger movements helps with fatigue, it doesn't directly increase volume."
Zakaj imajo podobe na televiziji odrezane robove?,"The correct answer is **B: Da slika zapolni celoten zaslon**.

The text explicitly states: ""Vse na televizijskem ekranu je prikazano z obrezanimi robovi zgoraj, spodaj in ob straneh. To storijo zato, da slika prekrije celoten zaslon."" (Everything on the television screen is displayed with cut-off edges at the top, bottom, and sides. They do this so that the image covers the entire screen.)

The other options are incorrect because:

*   **A:** The text indicates the opposite – the cropping *can* cause subtitles to be obscured.
*   **C:** The text doesn't mention simple conversion to other formats as the reason.
*   **D:** The text states that cropping can *hide* subtitles, not that it's done to remove them.



"
Na katero od naslednjih težav lahko glede na odlomek naletimo pri pretvarjanju filma v format DVD?,"The correct answer is **D: Odrezane robove (Cut edges)**.

Here's why:

* The passage explicitly states that ""najpogostejši težavami pri pretvarjanju filma v format DVD so obrezani robovi slike"" (the most common problems when converting a movie to DVD format are cut edges of the image).
* It further explains that this happens because televisions are designed to fill the entire screen, leading to image cropping.
* The passage also mentions that this cropping can affect subtitles, making them partially or fully hidden.

Let's look at why the other options are incorrect:

* **A: Sliko, ki ne zapolni celotnega zaslona (Image that does not fill the entire screen):** The passage says the *opposite* – televisions are designed to fill the entire screen.  This is the *cause* of the problem.
* **B: Delno odrezane podnapise (Partially cut subtitles):** While mentioned as a *consequence* of the cropping, the *primary* problem is the cut edges themselves.
* **C: Sliko, ki zapolni celoten zaslon (Image that fills the entire screen):**  The passage says televisions *do* fill the screen, but this isn't a problem; it's the *design* that causes the problem when converting to DVD.

Therefore, **D** is the most accurate answer based on the information provided in the passage.
"
Kje se je nahajala britanska garnizija?,"The correct answer is **C: V Bordentownu**.

The text states: ""General John Cadwalder je sprožil diverzijski napad na **britansko garnizijo v Bordentownu**..."" which translates to ""General John Cadwalder launched a diversionary attack on the **British garrison in Bordentown**...""
"
Čigav podpis je bil na ročno napisanem osnutku?,"The correct answer is **D: Charlesa Thomsona**.

The text states: ""ročno napisan osnutek, ki sta ga podpisala predsednik kongresa John Hancock in sekretar Charles Thomson...""
"
Na katero od naslednjih lokacij je Dunlapov letak prispel nazadnje?,"The correct answer is **C: V London**.

The passage states: ""En izvod je dosegel London 10. avgusta."" (One copy reached London on August 10th.) This is the latest location mentioned.
"
Kje so bile nameščene čete polkovnika Johna Starka?,"The correct answer is **A: Na severni strani, ob ograji**.

The text states: ""Starkovi možje so se razporedili ob ograji severno od položaja kolonistov."" (Stark's men positioned themselves along the fence north of the colonists' position.)"
Kdaj so glede na odlomek Starkovi možje dogradili ograjo?,"The correct answer is **C: Ob oseki**.

The passage states: ""Ko se je ob oseki odprl prostor ob reki Mystic..."" which translates to ""When space opened up at Oseki by the Mystic River..."" This directly indicates when Stark's men started building the wall. Options A, B, and D are incorrect because the passage doesn't link the wall construction to those events.
"
Katero od naslednjih obdobij je bilo glede na odlomek eno najbolj nasilnih na Kitajskem?,"The correct answer is **D: Obdobje treh kraljestev**.

The passage explicitly states: ""Obdobje treh kraljestev je bilo eno od najbolj krvavih obdobij v zgodovini starodavne Kitajske..."" (The Three Kingdoms period was one of the bloodiest periods in the history of ancient China...).  The passage also mentions the intense battles and thousands of deaths in the struggle for the throne.  The other options are not described as particularly violent in the passage.
"
"Kaj glede na odlomek velja za kolonijo bojnih mravelj, ki prehajajo v nomadsko fazo?","The correct answer is **B: Imajo nizke zaloge hrane.**

Here's why:

* The passage explicitly states: ""Kolonija preide v nomadsko fazo, ko se zmanjšajo zaloge hrane."" (The colony transitions to a nomadic phase when food supplies decrease.)

Let's look at why the other options are incorrect:

* **A: Ponoči gnezdijo:** The passage says they move at night during the nomadic phase, not that they nest at night.
* **C: Gradijo mravljišča, ki jih po 17 dneh spremenijo:** While they *do* build and change temporary nests, this is *a consequence* of entering the nomadic phase, not the *reason* they enter it.
* **D: Premikajo se podnevi:** The passage says they rest during the day and move at night during the nomadic phase.



"
"Katera trditev glede na odlomek pravilno povzema gnezdilne navade, ki jih imajo kolonije bojnih mravelj v nomadski fazi?","The correct answer is **C: Vsak dan spreminjajo mravljišča**.

Here's why:

* The text states, ""V tej fazi kolonija zgradi začasna mravljišča, ki jih vsakodnevno spreminjajo."" which translates to ""In this phase, the colony builds temporary nests, which they change daily.""

Let's look at why the other options are incorrect:

* **A: Mravljišča gradijo ponoči:** The text doesn't specify when they build the nests, only that they build *temporary* nests during the nomad phase.
* **B: Hodijo 17 dni, ne da bi gnezdile:** The text says they build temporary nests during the 17-day period, implying they *do* nest.
* **D: Med trajanjem faze uporabljajo ista mravljišča:** The text explicitly states they build *temporary* nests and *change* them daily, so they don't use the same nest for the entire 17 days.



"
